1 - klasowa	1-klasowa
9 - miesięczna	9-miesięczna
9 - miesięczny	9-miesięczny
90 - letniej	90-letniej
900 - osobowej	900-osobowej
12 - letni	12-letni
14 - letni	14-letni
14 - letniego	14-letniego
15 - letniego	15-letniego
16 - letnia	16-letnia
16 - letniej	16-letniej
17 - letnia	17-letnia
18 - letni	18-letni
19 - letni	19-letni
20 - letni	20-letni
20 - letnia	20-letnia
22 - letniego	22-letniego
22 - letniej	22-letniej
24 - letni	24-letni
26 - letniego	26-letniego
28 - letni	28-letni
28 - letnią	28-letnią
3 - letniego	3-letniego
3 - letniej	3-letniej
30 - letnia	30-letnia
35 - letni	35-letni
36 - letniej	36-letniej
37 - letni	37-letni
37 - letnia	37-letnia
4 - krotnie	4-krotnie
40 - letni	40-letni
40 - letniej	40-letniej
43 - letni	43-letni
43 - letnia	43-letnia
45 - osobowa	45-osobowa
49 - letniego	49-letniego
5 - letniej	5-letniej
50 - letniego	50-letniego
52 - letni	52-letni
60 - letni	60-letni
65 - letniego	65-letniego
80 - letni	80-letni
87 - letni	87-letni
15 - letnia	15-letnia
17 - letniego	17-letniego
19 - letniego	19-letniego
25 - letniego	25-letniego
30 - letni	30-letni
34 - letni	34-letni
36 - letniego	36-letniego
38 - letni	38-letni
5 - letnia	5-letnia
54 - letni	54-letni
76 - letni	76-letni
15 - letni	15-letni
17 - letni	17-letni
19 - letnia	19-letnia
22 - letnia	22-letnia
26 - letni	26-letni
30 - letniego	30-letniego
48 - letni	48-letni
10 - minutowych	10-minutowych
21 - letni	21-letni
22 - letni	22-letni
23 - letni	23-letni
32 - letni	32-letni
25 - letni	25-letni
27 - letni	27-letni
33 - letni	33-letni
5 - minutowych	5-minutowych
XIX - wiecznego	XIX-wiecznego
XIX - wieczny	XIX-wieczny
XVII - wiecznych	XVII-wiecznych
7 - procentowym	7-procentowym
XVI - wieczne	XVI-wieczne
XVI - wieczny	XVI-wieczny
XVII - wieczna	XVII-wieczna
XVII - wieczny	XVII-wieczny
XVIII - wieczna	XVIII-wieczna
