zwiędnąć	zwiędły|uwiędły|zwiędnięty|powiędły
zestarzeć się	stary
zestarzeć się	stary|nienowy
unieważnić się	nieważny
zdezaktualizować się|przedawnić się	nieaktualny
zdezaktualizować się|przedawnić się	niewspółczesny
zestarzeć się	zestarzały
zestarzeć się	przestarzały|wczorajszy|przedwczorajszy
zzielenieć|zazielenić się	zielony
zabarwić się	barwny|kolorowy
dojrzeć	dojrzały
przemoknąć|przemoczyć się	mokry
wyłysieć	łysy|gołogłowy
przebrzmieć	przebrzmiały
odtajać|rozmarznąć|roztajać	rozmarzły|roztajały
zmięknąć|zmiękczyć się	miękki|niesztywny
wyswobodzić się|wyzwolić się|uwolnić się|oswobodzić się	niepodległy|niezawisły
oddalić się	dalszy
odsłonić się	widoczny
odsłonić się	dostępny
przemęczyć się|przeforsować się	przemęczony
rozpieścić się	kapryśny|grymaśny|humorzasty|chimeryczny|rozkapryszony
przewinić|zawinić	winny|odpowiedzialny
upodlić się|spodlić się	podły
rozciągnąć się	obowiązujący
wygiąć się|zgiąć się	wygięty
wsławić się|zasłynąć	słynny|sławny
zneutralizować się	obojętny|neutralny
wyczyścić się	czysty
spochmurnieć	chmurniejszy
spochmurnieć	pochmurny|chmurny|szary
zażenować się	zażenowany
poluzować się|obluzować się|obruszyć się	luźny|wolny|rzadki|niegęsty
odwlec się|odsunąć się	odsunięty
rozwiązać się|rozwikłać się	rozwiązany
zaktualizować się|uaktualnić się	aktualny
zgłodnieć|wygłodnieć	głodny
zmatowieć	matowy
zrzednąć|zrzednieć	luźny|wolny|rzadki|niegęsty
zrzednąć	rzadki|nieczęsty
zwilgotnieć|zawilgotnieć	wilgotny
stępieć	nieostry|tępy
stępieć	tępy|tępogłowy
zgłupieć	głupi|niemądry
uodpornić się	odporny
rozpanoszyć się	zuchwały|bezczelny
zmądrzeć	mądry
wypięknieć	piękny|cudowny|krasy
zbrzydnąć	brzydszy
zbrzydnąć	brzydki|nieładny|niepiękny
zardzewieć|skorodować	zardzewiały|skorodowany|pordzewiały
skruszeć	łamliwy|kruchy
przycichnąć	przycichły
przycichnąć	cichy
zgnuśnieć	gnuśny
wybujać	bujniejszy
wybujać	bujny
wyludnić się|opustoszeć	opustoszały|spustoszały
wymrozić się	zziębły|zziębnięty|wyziębły
ozłocić się	złocisty|złoty|pozłocisty|złociutki|złotolity|złotolicy
utożsamić się	identyczny|ten sam|taki sam|tożsamy
zdekompletować się	niecały|niecałkowity|cząstkowy|częściowy|niezupełny|niepełny|parcjalny
zdelikatnieć	delikatny|łagodny|subtelny
rozpalić się|rozognić się	gorący
rozpalić się	czerwony
opróżnić się	pusty|próżny|nienapełniony
zaludnić się	ludny
ograniczyć się|sprowadzić się	ograniczony
zawęzić się|zacieśnić się	ciaśniejszy
rozgadać się	gadatliwy|rozgadany
upokorzyć się	pokorny|korny
zidiocieć	zidiociały
zdeklarować się|zadeklarować się	zdeklarowany
wyłamać się	niesolidarny
zachwiać się	chwiejny
wyprostować się|rozprostować się	wyprostowany
zbzikować|sfiksować|ześwirować|dostać fioła|dostać fisia|dostać bzika|dostać hysia|dostać hyzia|dostać hopla|dostać kota|dostać kręćka|dostać szmergla|dostać świra	zbzikowany
zwolnić się	wolny|niezajęty
zrównać się|dorównać	równy
utrwalić się	trwały
uwstecznić się	uwsteczniony
skomplikować się|powikłać się|pogmatwać się|pokomplikować się|zagmatwać się|zawikłać się|poplątać się|zapętlić się	niezrozumiały|niejasny
odplątać się|rozplątać się|odsupłać się|rozsupłać się	rozplątany
przetłuścić się	zatłuszczony|przetłuszczony|tłusty
przetłuścić się	zatłuszczony|przetłuszczony|tłusty
wypłynąć	znany
skrócić się	krótszy
zaplątać się|zapętlić się	zaplątany|zapętlony
zaostrzyć się	drastyczny|brutalny|agresywny
zaostrzyć się	surowszy
zaostrzyć się	rygorystyczny|ścisły
zaostrzyć się	nieznośny
zaostrzyć się|wyostrzyć się	bystry|ostry
usprawnić się	sprawniejszy
poprawić się|polepszyć się	lepszy
ochłodzić się|ochłodnąć|schłodzić się	chłodny
zobojętnieć|znieczulić się	obojętny|beznamiętny
obrzydnąć|zbrzydnąć|obmierznąć|zbrzydzić się	wstrętny|przebrzydły|ohydny
zrosnąć się	związany
wypiec się	rumiany|przypieczony|przysmażony
zbieleć|pobieleć	biały
posiwieć|zbieleć|pobieleć|posrebrzyć się	bielszy
posiwieć|zbieleć|pobieleć|posrebrzyć się	siwy|posiwiały
pociemnieć	ciemniejszy
pociemnieć	ciemny
pociemnieć|ściemnieć	ciemniejszy
pociemnieć|ściemnić się|ściemnieć	ciemniejszy
poszarzeć|zszarzeć	szary
poszarzeć|zszarzeć	nijaki|bezbarwny|blady|szary|nieciekawy|nudny|bezlicy
rozdąć się	rozdęty
rozdąć się	niemiły|nieprzyjemny
rozdąć się	pyszny|zadufany|zadufały
spłowieć|wypłowieć	płowożółty
zmatowieć	przytłumiony|stłumiony|głuchy
zmięknąć	słaby
zmięknąć	uległy
rozbłękitnieć|rozbłękitnić się	błękitny
rozkaprysić się	kapryśny|grymaśny|humorzasty|chimeryczny|rozkapryszony
wyślizgać się	śliski
wygładzić się	gładki
zwęzić się	węższy
rozjuszyć się	rozżarty|rozjuszony|rozjadły
ścieśnić się|stłoczyć się|zbić się	ciaśniejszy
ścieśnić się	ciaśniejszy
oblepić się	lepki|klejowaty|kleisty|klejący|czepny|klejki
zlodowacieć	lodowaty|lodowy
skostnieć	skostniały
skostnieć	skostniały
zdziczeć	dziki
zdziczeć	dziki
wychudnąć	chudszy
znarowić się	narowisty
znarowić się	narowisty
odcieleśnić się	psychiczny
zajesienić się	jesienny
posiwieć	siwy|osiwiały|przyprószony siwizną|zsiwiały|posiwiały
zaróżowić się|zaróżowieć	różowy
zharmonizować się	harmonijny
rozwlec się	niespójny|niespoisty
zmierzwić się|zwichrzyć się|potargać się|skłębić się	zmierzwiony|zwichrzony|skłębiony|potargany
wycwanić się|schytrzyć się	cwany|wycwaniony
wycwanić się|schytrzyć się	cwańszy
wznowić się	ponowny|powtórny
zestresować się	zestresowany
zniknąć|przepaść	niewidoczny|niewidzialny
ulepszyć się	lepszy
ochłodzić się|oziębić się	chłodniejszy
ocieplić się	cieplejszy
ocieplić się	ciepły
zdemokratyzować się	demokratyczny
zmętnieć|zmącić się	nieprzejrzysty|mętny|zanieczyszczony|nieczysty|nieklarowny|nieprzeźroczysty|nieprzezroczysty
zmętnieć	niewyraźny
zmętnieć	niewyraźny
zlaicyzować się|zeświecczyć się	laicki
zblednąć|wyblaknąć|zbladnąć|zblaknąć	zbladły
zrogowacieć	rogowaty|zrogowaciały
rozbestwić się	zuchwały|bezczelny
rozzuchwalić się	zuchwały|bezczelny
zautonomizować się	niepodległy|niezawisły
namoknąć|namięknąć|nasączyć się|namoczyć się	mokry
zamarznąć	zamarznięty|zamarzły
zadowolić się|usatysfakcjonować się	zadowolony|rad
spłukać się|wyczyścić się	spłukany|goły|goły i wesoły
zaczernić się|poczernieć	czarny
przejaśnić się|rozjaśnić się	zrozumiały|przystępny|jasny|klarowny|przejrzysty
poplątać się|splątać się	splątany|poplątany|pogmatwany|zamotany
zasupłać się|zawęźlić się	zasupłany|zawęźlony
zmącić się	niejasny|mętny|rozmazany|rozlany|zamazany
wyschnąć	pusty|próżny|nienapełniony
zeszklić się	błyszczący|lśniący|połyskujący|łyskliwy
pomieszać się|zmącić się	niezrozumiały|niejasny
ściemnieć|ściemnić się|pociemnieć	ciemniejszy
ściemnieć|ściemnić się|pociemnieć	ciemny
zestarzeć się	zestarzały
zestarzeć się	stary|niemłody
skruszeć	kruchy
skostnieć|zeskorupieć	skostniały|zastały
zjełczeć	zjełczały|jełki
wylinieć	wyliniały|wyleniały
zzielenieć	zielony|szary
zeskorupieć|zaskorupieć|zaskorupić się	zaskorupiały|zeskorupiały
zeskorupieć|zaskorupieć|zaskorupić się	zaskorupiały|zeskorupiały
uwziąć się	cięty
zwątleć	wątły
osłabnąć|zwątleć	wątły|słaby
przycichnąć	przycichły
zagrzać się	ciepły
zagrzać się	gorący
sczerstwieć	czerstwy|suchy|wyschnięty
poschnąć|pousychać	poschły
podrdzewieć	podrdzewiały
przerdzewieć	przerdzewiały
sfrancuzieć	sfrancuziały
zwilgnąć	wilgotny
nadpleśnieć	nadpleśniały
nadpsuć się	nadpsuty
zżółknąć|pożółknąć|wyżółknąć	żółty
