chciwy	chcieć
chorowity	chorować
pracowity	pracować
wytrzymały	wytrzymać
żarłoczny	żreć
gadatliwy	gadać
wytrzymały	wytrzymać
dżdżysty	dżdżyć
żarłoczny	żreć
wielomówny	mówić
wytrzymały	wytrzymać
roztrajkotany	trajkotać
mżysty	mżyć
jajonośny	nieść
przedenerwowany	denerwować się
