budujący	budować
równobrzmiący	brzmieć
ogorzały	ogorzeć
rozigrany	rozigrać się
zwapniały	zwapnieć
oklapły	oklapnąć
oklapły	oklapnąć
prawotwórczy	tworzyć
porosły	porosnąć
zarosły	zarosnąć
przylepny	przylepiać się
przymilny	przymilać się
struchlały	struchleć
przejrzały	przejrzeć
zabłąkany	zabłąkać się
przeziębiony	przeziębić się
zaziębiony	zaziębić się
rozgałęziony	rozgałęziać się
rozgałęziony	rozgałęziać się
gryzący	gryźć
gryzący	gryźć
miododajny	dawać
zdechły	zdechnąć
zamarzły	zamarznąć
wypity	wypić
zgęstniały	zgęstnieć
wahliwy	wahać się
pordzewiały	pordzewieć
przyjezdny	przyjeżdżać
zdeklarowany	zdeklarować się
rozbrajający	rozbrajać
rozbrajający	rozbrajać
przypochlebny	przypochlebiać się
ujmujący	ujmować
zalotny	zalecać się
pociągowy	pociągać
łowny	łowić
urągliwy	urągać
jazgotliwy	jazgotać
ochrypły	chrypieć
przepity	przepić się
rozdzierający	rozdzierać
rozpłakany	rozpłakać się
napęczniały	napęcznieć
napęczniały	napęcznieć
sflaczały	sflaczeć
zszarzały	zszarzeć
znieruchomiały	znieruchomieć
znieruchomiały	znieruchomieć
zmartwiały	zmartwieć
zmartwiały	zmartwieć
zestarzały	zestarzeć się
zestarzały	zestarzeć się
zastygły	zastygnąć
zastygły	zastygnąć
zarośnięty	zarosnąć
wychudły	wychudnąć
uśmiechnięty	uśmiechać się
stężały	stężeć
stężały	stężeć
spotniały	spotnieć
spotniały	spotnieć
spopielały	spopieleć
spuchnięty	spuchnąć
nabrzmiały	nabrzmieć
napuchnięty	napuchnąć
napuchły	napuchnąć
obrzękły	obrzmieć
obrzękły	obrzęknąć
obrzęknięty	obrzęknąć
opuchły	opuchnąć
poczerniały	poczernieć
poczerniały	poczernieć
poczerwieniały	poczerwienieć
posmutniały	posmutnieć
poszarzały	poszarzeć
skamieniały	skamienieć
skamieniały	skamienieć
owdowiały	owdowieć
zachwycony	zachwycić się
wyrodny	wyrodzić się
palący	palić
zajmujący	zajmować
kwasochłonny	chłonąć
rozwidlony	rozwidlać się
zaistniały	zaistnieć
żądny	żądać
zaharowany	zaharowywać się
zasiedziały	zasiedzieć się
nadąsany	nadąsać się
osowiały	osowieć
osłupiały	osłupieć
rozgorączkowany	rozgorączkować się
rozkochany	rozkochać się
rozkochany	rozkochać się
skruszony	skruszyć się
wygłodniały	wygłodnieć
zbaraniały	zbaranieć
zdumiony	zdumieć się
zgorszony	zgorszyć się
ciepłolubny	lubić
miododajny	dawać
okrywowy	okrywać
światłolubny	lubić
wapieniolubny	lubić
porywisty	porywać
postępowy	postępować
milczący	milczeć
