aktorzyna	aktor
babsko	baba
babsztyl	baba
bania	bańka
bożyszcze	bożek
brzucho	brzuch
brzuszysko	brzuch
choróbsko	choroba
chłopisko	chłop
cmentarzysko	cmentarz
córa	córka
córunia	córusia
czacha	czaszka
dwója	dwójka
dzieciak	dziecko
dzieciuch	dziecko
flacha	flaszka
gar	garnek
gospocha	gospodyni
głupol	głupek
kawał	kawałek
kielonek	kieliszek
komuch	komunista
krecha	kreska
księga	książka
laga	laska
mamcia	mama
mamunia	mamusia
mamuśka	mamusia
nochal	nos
paluch	palec
pannica	panna
pała	pałka
portasy	portki
publika	publiczność
rola	rolka
seta	setka
starucha	staruszka
trója	trójka
truposz	trup
wiocha	wioska
łapówa	łapówka
łepetyna	łeb
łoże	łóżko
chmurzysko	chmura
zimnica	zimno
cielsko	ciało
kolanisko	kolano
kościsko	kość
pieniąch	pieniądz
pieniąchy	pieniądze
towarzycho	towarzystwo
dolec	dolar
zad	zadek
bety	bet
ściera	ścierka
brama	bramka
jęzor	język
kaseta	kasetka
kawał	kawałek
mieścina	miasto
ława	ławka
dziewucha	dziewczyna
staruch	staruszek
sługus	sługa
beka	beczka
decha	deska
decha	deska
rękawica	rękawiczka
chusta	chustka
migdał	migdałek
wór	worek
misa	miska
słoik	słój
tuba	tubka
blondyna	blondynka
czub	czubek
czub	czubek
płat	płatek
wóda	wódka
śliwa	śliwka
szycha	szyszka
kop	kopniak
kokieta	kokietka
dzwono	dzwonko
szczypior	szczypiorek
bożyszcze	bożek
laga	laska
lachon	laska
synuś	syn
bandzior	bandyta
brach	brat
kubas	kubek
biedactwo	biedak
krasnolud	krasnoludek
niańka	niania
ptaszysko	ptak
bucior	but
lesba	lesbijka
byczysko	byk
kolisko	koło
niedźwiedzisko	niedźwiedź
dziadyga	dziad
bochen	bochenek
gorzała	gorzałka
mieszczuch	mieszczanin
teka	teczka
tomisko	tom
leniuch	leń
leniwiec	leń
pijaczyna	pijaczek
pijaczysko	pijak
plotkara	plotkarka
chamidło	cham
chamisko	cham
chamuś	cham
gburzysko	gbur
cyganicha	cyganka
psiak	pies
psina	pies
psisko	pies
faja	fajka
pagór	pagórek
firana	firanka
poducha	poduszka
ścieżyna	ścieżka
drożyna	dróżka
wińsko	wino
machora	machorka
lorneta	lornetka
bryka	bryczka
micha	misa
parobas	parobek
szlachciura	szlachcic
uczniak	uczeń
babina	baba
babula	babka
ciacho	ciastko
babon	baba
babus	baba
krówsko	krowa
wąsisko	wąs
zębisko	ząb
zębisko	ząb
damula	dama
biedaczyna	biedak
kurew	kurwa
literacik	literat
literacina	literat
pisarzyna	pisarz
Japoniec	Japończyk
Niemra	Niemka
żur	żurek
Wietnamiec	Wietnamczyk
handlara	handlarka
przekupa	przekupka
głup	głupek
łapsko	łapa
naiwniaczek	naiwniak
piwsko	piwo
brosza	broszka
szczota	szczotka
blondas	blondyn
chłopczyna	chłopczyk
chłoptaś	chłopiec
człeczyna	człek
kobiecina	kobieta
służebnica	służebniczka
machloja	machlojka
papierzysko	papier
papierzysko	papier
małpiszon	małpa
czeczota	czeczotka
szklanica	szklanka
godzinka	godzina
pisanina	pisanie
kocisko	kot
tłuściocha	tłuścioszka
kizia	kicia
kocina	kot
cyc	cycek
ateusz	ateista
łycha	łyżka
dera	derka
grochówa	grochówka
miech	miesiąc
chlewisko	chlew
kartoflisko	kartofel
biedaczysko	biedak
stryjaszek	stryj
dyrdymała	dyrdymałka
fujara	fujarka
weselisko	wesele
siostrzyca	siostra
księżyna	ksiądz
chałupina	chałupa
harówa	harówka
cewa	cewka
kłodzina	kłoda
jarmuła	jarmułka
drabisko	drab
kroma	kromka
chłoptyś	chłopiec
panisko	pan
piśmidło	pismo
czub	czubek
świrus	świr
tyka	tyczka
kotwa	kotwica
jałowica	jałówka
szkatuła	szkatułka
kluchy	kluski
ruleta	ruletka
koszulina	koszula
tirówa	tirówka
kochanica	kochanka
dziennikarzyna	dziennikarz
wałówa	wałówka
agrafa	agrafka
urzędniczyna	urzędnik
konisko	koń
klita	klitka
kozeta	kozetka
kataryna	katarynka
grosiwo	grosz
dzieciska	dzieci
mięcho	mięso
mięcho	mięso
obertas	oberek
oprych	opryszek
pętlica	pętla
nerwówa	nerwówka
wilczysko	wilk
wilczysko	wilk
piącha	pięść
łapię	łapa
urzędas	urzędnik
wyro	wyrko
wyro	wyrko
nowalia	nowalijka
synalek	syn
oślisko	osioł
oślisko	osioł
lwisko	lew
krzaczysko	krzak
krówsko	krowa
słonisko	słoń
mizeractwo	mizerak
reporterzyna	reporter
dziadowina	dziad
pętaczyna	pętak
lisiura	lis
papierosisko	papieros
diabelec	diabeł
gnacisko	gnat
lisisko	lis
komarzysko	komar
farsidło	farsa
oknisko	okno
żydzisko	żyd
stodólsko	stodoła
poecina	poeta
fatałach	fatałaszek
marynarczyna	marynarka
diablisko	diabeł
kurwiszcze	kurwa
kurwiszon	kurwa
pietrucha	pietruszka
księżulo	ksiądz
kogucisko	kogut
kieca	kiecka
buła	bułka
czyściocha	czysta
parobczak	parobek
matuchna	matusia
pudło	pudełko
żarówa	żarówka
czeczota	czeczotka
krowina	krowa
białas	biały
kapuścisko	kapusta
siata	siatka
siata	siatka
bananówa	bananówka
bomboniera	bombonierka
dupsko	dupa
świecidło	świecidełko
byczysko	byk
bysior	bysio
żyleta	żyletka
bucisko	but
transik	trans
wierszydło	wiersz
cepisko	cep
chłopaczyna	chłopak
tenorek	tenor
kibol	kibic
cipsko	cipa
cipsko	cipa
Cyganicha	Cyganka
domiszcze	dom
amerykaniec	Amerykanin
jugol	Jugosłowianin
menacha	menażka
podróba	podróbka
adwokacina	adwokat
parówa	parówka
parówa	parówka
drech	dres
socjał	socjalista
tyka	tyczka
oczysko	oko
oczysko	oko
oczysko	oko
szablisko	szabla
kicha	kiszka
kicha	kiszka
piątal	piątak
dęciak	instrument dęty
ptaszydło	ptak
nożysko	noga
kranówa	kranówka
kamizela	kamizelka
szpila	szpilka
szpila	szpilka
szpila	szpilka
gadzina	gad
dziadzisko	dziad
żydowin	żyd
pedryl	pedał
hicior	hit
hicior	hit
schaboszczak	schabowy
pisarczyk	pisarz
jajca	jaja
majtasy	majtki
notata	notatka
ciary	ciarki
chłopaczysko	chłopak
chłopczysko	chłopak
dziewczynina	dziewczyna
studenciak	student
szkapina	szkapa
człowieczyna	człowiek
żydziak	żyd
mrówa	mrówka
mrówa	mrówka
dziewuszysko	dziewucha
dziewuszyna	dziewucha
kęsisko	kęs
tatusiek	tatuś
bzdurka	bzdura
duecik	duet
grzaneczka	grzanka
pączuś	pączek
pączuś	pączek
babula	babka
patol	patyk
meliniara	meliniarka
łopata	łopatka
kasiora	kasa
ukropek	ukrop
milionik	milion
sopranik	sopran
sopranik	sopran
kotuś	kotek
mamuńka	mama
żebraczyna	żebrak
rybuchna	rybka
kubraczyna	kubrak
żonula	żona
czapula	czapka
łajdaczyna	łajdak
córula	córunia
kiecuchna	kiecka
dzieciaczyna	dzieciak
mamula	mama
pismaczyna	pismak
babulina	babula
czapczyna	czapka
człeczysko	człek
grucha	gruszka
grucha	gruszka
marchewa	marchewka
marchewa	marchewka
nera	nerka
piszczała	piszczałka
piszczała	piszczałka
pożarzysko	pożar
pożarzysko	pożar
pożarzysko	pożar
uszysko	ucho
uszysko	ucho
żabsko	żaba
aktorzysko	aktor
bruneta	brunetka
bryczyna	bryka
bryczyna	bryka
bryczyna	bryka
butoniera	butonierka
cygareta	cygaretka
człowieczysko	człowiek
człowieczysko	człowiek
dębisko	dąb
dębisko	dąb
deszczysko	deszcz
deszczysko	deszcz
domisko	dom
grenadierzysko	grenadier
guwernerzyna	guwerner
kanapsko	kanapa
knajpczyna	knajpa
lekarzyna	lekarz
malarzyna	malarz
murarzyna	murarz
pogromisko	pogrom
rydlisko	rydel
szlafroczysko	szlafrok
sztuczyna	sztuka
sztuczyna	sztuka
wiosczyna	wioska
załomisko	załom
zrąbisko	zrąb
zrąbisko	zrąb
zrąbisko	zrąb
złotówczyna	złotówka
bagnecisko	bagnet
bakałarzyna	bakałarz
chałupsko	chałupa
chałupsko	chałupa
chałupsko	chałupa
dubeltówczyna	dubeltówka
frazesisko	frazes
jarmarczysko	jarmark
jarmarczysko	jarmark
muszysko	mucha
nieboraczysko	nieborak
oficerzyna	oficer
świeczczyna	świeczka
trupisko	trup
wykopisko	wykop
wykopisko	wykop
wykopisko	wykop
wysadzisko	wysad
ziemniaczysko	ziemniak
żołnierzysko	żołnierz
ławczyna	ławka
ławczyna	ławka
sardyna	sardynka
doktorzyna	doktor
doktorzyna	doktor
dzieciaczysko	dzieciak
okręcisko	okręt
okręcisko	okręt
pętlisko	pętel
pistolecisko	pistolet
pogrzebisko	pogrzeb
próżniaczysko	próżniak
rotmistrzysko	rotmistrz
szkapsko	szkapa
szoferzyna	szofer
trawsko	trawa
trawsko	trawa
weteranisko	weteran
brytanisko	brytan
brytanisko	brytan
buraczysko	burak
buraczysko	burak
buraczysko	burak
bułczyna	bułka
łączyna	łąka
cyplisko	cypel
cyplisko	cypel
haczysko	hak
haczysko	hak
kapeluszysko	kapelusz
kapeluszysko	kapelusz
kozaczysko	kozak
kozaczysko	kozak
kromczyna	kromka
liścisko	liść
kurzysko	kurz
mieczysko	miecz
mieczysko	miecz
obcasisko	obcas
okularzysko	okular
pniaczysko	pniak
pniaczysko	pniak
pniaczysko	pniak
trójczyna	trójka
zdechlactwo	zdechlak
baranisko	baran
baranisko	baran
belferzyna	belfer
biesisko	bies
chustczyna	chustka
felczerzyna	felczer
gotówczyna	gotówka
kaftanisko	kaftan
kiecczyna	kiecka
kożuszysko	kożuch
kożuszysko	kożuch
kożuszysko	kożuch
kożuszysko	kożuch
krzaczyna	krzak
lampczyna	lampka
lampczyna	lampka
meblisko	mebel
murzysko	mur
murzysko	mur
nieboractwo	nieborak
paluszysko	paluch
podoficerzyna	podoficer
poduszczyna	poduszka
profesorzyna	profesor
wróblisko	wróbel
spółczyna	spółka
spółczyna	spółka
charłaczyna	charłak
czwóra	czwórka
fajczyna	fajka
fajczyna	fajka
flaszczyna	flaszka
gorzałczyna	gorzałka
katarzysko	katar
klasztorzysko	klasztor
kłębisko	kłąb
kłębisko	kłąb
kłębisko	kłąb
miniówa	miniówka
okopisko	okop
orderzysko	order
oszczepisko	oszczep
oszczepisko	oszczep
pędzlisko	pędzel
płaszczysko	płaszcz
płocisko	płot
słupisko	słup
słupisko	słup
słupisko	słup
wariacisko	wariat
wstążczyna	wstążka
wstążczyna	wstążka
aptekarzyna	aptekarz
baryłczyna	baryłka
baryłczyna	baryłka
dwójczyna	dwójka
dwójczyna	dwójka
forcisko	fort
forcisko	fort
gałganisko	gałgan
gałganisko	gałgan
gracisko	grat
gracisko	grat
hajduczysko	hajduk
hajduczysko	hajduk
jesionczyna	jesionka
kawsko	kawa
kopiejczyna	kopiejka
pisarczyna	pisarczyk
pisarczyna	pisarczyk
portmoneta	portmonetka
sklepisko	sklep
tapczanisko	tapczan
wykrocisko	wykrot
włosisko	włos
gracik	grat
paltocina	palto
radlisko	radło
struposz	strup
drzewsko	drzewo
jędzula	jędza
kopniaczek	kopniak
kotulek	kot
kupczyna	kupiec
studencina	student
skarbuś	skarb
skarbuś	skarb
brodzina	broda
brodzina	broda
okręcina	okręt
okręcina	okręt
patencik	patent
patencik	patent
pieklisko	piekło
pieklisko	piekło
serdaczyna	serdak
skrzydlisko	skrzydło
skrzydlisko	skrzydło
ciotula	ciota
ciotula	ciota
funcina	funt
funcina	funt
gębula	gęba
