były	być
pożegnalny	pożegnać
grzewczy	grzać
żegnalny	żegnać
podłączeniowy	podłączyć
formatywny	formować się
wiejny	wiać
rozgrzewkowy	rozgrzewać się
rozbierany	rozbierać
głodowy	głodzić
