wieśniak|wsiowy	wieś|wioska
Mazowszanin	Mazowsze
Afgańczyk|Afgan	Afganistan|Islamska Republika Afganistanu|Islamskie Państwo Afganistanu
Andorczyk	Andora|Księstwo Andory
Islandczyk	Islandia|Republika Islandii
Bośniak	Bośnia i Hercegowina|Republika Bośni i Hercegowiny
Hercegowińczyk	Hercegowina
Cypryjczyk	Cypr|Republika Cypryjska
Czarnogórzec	Czarnogóra|Republika Czarnogóry
Małopolanin	Małopolska
Dolnoślązak	Dolny Śląsk
Wielkopolanin	Wielkopolska
Pomorzanin	Pomorze
szczecinianin	Szczecin
Kujawiak|Kujawianin	Kujawy
bydgoszczanin	Bydgoszcz
Ślązak	Górny Śląsk|Śląsk
Podlasianin|Podlasiak|Podlasiuk	Podlasie
olsztynianin	Olsztyn
Warmiak	Warmia
Mazur	Mazury
Łotysz	Łotwa|Republika Łotewska
Monakijczyk	Monako|Księstwo Monako
Serb	Serbia|Republika Serbii
Fenicjanin	Fenicja
Bizantyjczyk|Bizantyńczyk	Cesarstwo Bizantyńskie|Cesarstwo Bizantyjskie|Cesarstwo Wschodniorzymskie|Bizancjum
brzeszczanin	Brzeszcze
brzeszczanin	Brzesko
nowotarżanin	Nowy Targ
piwniczanin	Piwniczna-Zdrój|Piwniczna
selenita	Księżyc
gdynianin	Gdynia
esseńczyk	Essen
prażanin|prażak	Praga
Baszkir	Baszkiria|Baszkortostan|Republika Baszkortostanu
lublinianin|lubliniak	Lublin
pilźnianin	Pilzno
sanoczanin	Sanok|Królewskie Wolne Miasto Sanok
trzebinianin	Trzebinia
Lewantyńczyk	Bliski Wschód|Lewant
Ghańczyk	Ghana|Republika Ghany
nowojorczyk	Nowy Jork|Nowy York|New York|New York City
bochnianin	Bochnia
jaślanin	Jasło
libiążanin	Libiąż
jarosławianin	Jarosław
krośnianin	Krosno Odrzańskie
krośnianin	Krosno
bełchatowianin	Bełchatów
bielszczanin	Bielsk Podlaski
bielszczanin	Bielsko-Biała
chorzowianin	Chorzów
częstochowianin	Częstochowa
dąbrowianin	Dąbrowa Tarnowska
dąbrowianin	Dąbrowa Białostocka
dąbrowianin	Dąbrowa Górnicza
gorzowianin	Gorzów Śląski
gorzowianin	Gorzów Wielkopolski
głogowianin	Głogów
głogowianin	Głogów Małopolski
myśleniczanin	Myślenice
ostrowianin	Ostrów Lubelski
ostrowianin	Ostrów Wielkopolski
ostrowianin	Ostrów Mazowiecka
zielonogórzanin	Zielona Góra
kielczanin	Kielce
berlińczyk	Berlin
florentyńczyk|florentczyk	Florencja
gliwiczanin	Gliwice
lwowiak|lwowianin	Lwów
monachijczyk	Monachium
nowosądeczanin|sądeczanin	Nowy Sącz
olkuszanin	Olkusz
oświęcimianin	Oświęcim
przemyślanin	Przemyśl
rabczanin	Rabka-Zdrój|Rabka
szczawniczanin	Szczawnica
słupszczanin	Słupsk
torunianin	Toruń
żywczanin	Żywiec
łodzianin	Łódź
czchowianin	Czchów
tyszanin	Tychy
bytomianin	Bytom Odrzański
bytomianin	Bytom
opolanin	Opole
prażak|prażanin	Praga
Trojanin|Trojańczyk	Troja|Ilion
Tasmańczyk	Tasmania
Korsykanin|Korsykańczyk	Korsyka
Syberyjczyk|Sybirak	Syberia|Sybir
Kurp	Kurpie
Jawajczyk|Jawańczyk	Jawa
Sumatrzanin|Sumatryjczyk	Sumatra
Koreańczyk	Korea Południowa|Republika Korei
Koreańczyk	Korea Północna|Koreańska Republika Ludowo-Demokratyczna|KRLD
białostoczanin	Białystok
tarnowianin	Tarnów Opolski
tarnowianin	Tarnów
łowiczanin	Łowicz
skierniewiczanin	Skierniewice
tokijczyk	Tokio
londyńczyk	Londyn
lizbończyk	Lizbona
dublińczyk	Dublin
mediolańczyk	Mediolan
wenecjanin	Wenecja
Izraelczyk	Izrael|Państwo Izrael
moskwianin|moskwiczanin	Moskwa
Maltańczyk	Malta
Prusak	Prusy
Brunejczyk	Brunei|Państwo Brunei Darussalam|Państwo Brunei Kraj Pokoju
ateńczyk	Ateny
Grek|starożytny Grek	Grecja
Hellen	Hellada
Achaj	Achaja
Bałkańczyk	Bałkany
Asyryjczyk	Asyria
Gal|Gall	Galia
Łużyczanin|Serbołużyczanin	Łużyce
Turek	Turcja|Republika Turcji
Wołyniak|Wołynianin	Wołyń
Hucuł	Huculszczyzna
Jemeńczyk	Jemen|Republika Jemeńska
Pers	Persja
internatowiec|bursista|bursiarz	internat|bursa
Kolumbijczyk	Kolumbia|Republika Kolumbii
Kongijczyk	Kongo|Republika Konga|Kongo-Brazzaville
Kameruńczyk	Kamerun|Republika Kamerunu
Nubijczyk	Nubia
Czeczen|Czeczeniec	Czeczenia|Republika Czeczeńska
Kreteńczyk	Kreta
zabrzanin	Zabrze
Germanin	Germania
Fryz	Fryzja
abderyta	Abdera
Tunezyjczyk	Tunezja|Republika Tunezyjska
Marokańczyk	Maroko|Królestwo Maroka|Królestwo Marokańskie
Etrusk	Etruria
żyrardowianin	Żyrardów
tarnogórzanin	Tarnowskie Góry
Samnita	Samnium
wałbrzyszanin	Wałbrzych
Bawarczyk	Bawaria|Wolny Kraj Bawaria|Wolne Państwo Bawaria
sieneńczyk	Siena
Powiślanin	Powiśle
ryżanin	Ryga
mińszczanin	Mińsk
neapolitańczyk	Neapol
Pakistańczyk	Pakistan|Islamska Republika Pakistanu
mantuańczyk	Mantua
pekińczyk	Pekin
hawańczyk	Hawana
Babiogórzec	Babia Góra
bajończyk	Bajonna
bostończyk	Boston
koryntyjczyk|koryntianin	Korynt
niepołomiczanin	Niepołomice
sosnowczanin	Sosnowiec
kijowianin	Kijów
budapeszteńczyk	Budapeszt
chełmianin	Chełmno
chełmianin	Chełm
grodziszczanin	Grodzisk Mazowiecki
grodziszczanin	Grodzisk Wielkopolski
drohobyczanin	Drohobycz
Dominikańczyk	Dominikana|Republika Dominikańska
Galicjanin	Galicja
Galisyjczyk	Galicja
grudziądzanin	Grudziądz
konwiktor	konwikt
grodzianin	gród
Ingusz	Inguszetia
Udmurta	Udmurcja|Republika Udmurcka
Kirgiz	Kirgistan|Republika Kirgiska|Kirgizja
Klingon	Imperium Klingońskie
Żmudzin	Żmudź
Kaszub	Kaszuby
Kazach	Kazachstan|Republika Kazachstanu
Tyrolczyk	Tyrol
Tyrolczyk	Tyrol
sławkowianin	Sławków
wilnianin	Wilno
Szwab	Szwabia
