chwycić|ująć	trzymać
przyłączyć się|dołączyć|doszlusować|dojść	towarzyszyć|sekundować|asystować|akompaniować
zrozumieć|pojąć|objąć umysłem|ogarnąć umysłem|pochwycić|objąć	rozumieć
przyjąć	dysponować|gospodarować|rozporządzać|mieć do dyspozycji|gospodarzyć się|rządzić się|gospodarzyć
pojawić się|wystąpić	być|znajdować się
położyć się|lec|legnąć	leżeć
przestraszyć się|nastraszyć się|przelęknąć się|przeląc się|zlęknąć się|zląc się|stchórzyć|przelęknąć się|spietrać się|wystraszyć się|ulęknąć się	bać się|lękać się|obawiać się|drżeć|mieć boja
zgodzić się|podzielić	zgadzać się|być jednego zdania|być tego samego zdania|być jednej myśli|podzielać
spodobać się	podobać się
stanąć|zatrzymać się	stać
ubezpieczyć	ubezpieczać
ucieszyć się|uradować się|rozradować się	cieszyć się|radować się|weselić się
zaatakować|natrzeć|najechać|uderzyć|naprzeć	atakować|nacierać|iść|najeżdżać|napierać|szturmować|uderzać
urodzić się|narodzić się|przyjść na świat	żyć
usłyszeć|posłyszeć	słyszeć
uwierzyć|dać wiarę	wierzyć|dawać wiarę
uzależnić się	podlegać
wylecieć|wystartować	lecieć
wyróżnić się|wyodrębnić się	wyróżniać się
ruszyć|wyruszyć|ruszyć się	przemieszczać się|poruszać się|przenosić się
zabraknąć|zbraknąć|braknąć	brakować|brak
zadbać|zatroszczyć się|pomyśleć	dbać|troszczyć się|pamiętać|interesować się|myśleć
zainteresować się|zaciekawić się	interesować się|ciekawić się|zaciekawiać się
zainteresować|zaciekawić|zafrapować|zająć	interesować|ciekawić|frapować|zaciekawiać|zajmować
zaistnieć|pojawić się	być|istnieć|egzystować
usiąść|siąść	siedzieć
zamieszkać|osiedlić się|osiąść|osadzić się	mieszkać|rezydować|zamieszkiwać
zasnąć|usnąć	spać
zawrzeć|zagotować się	wrzeć|gotować się
zdziwić się|zadziwić się|zdumieć się	dziwić się|zdumiewać się|zadziwiać się|dziwować się
zapragnąć|zażyczyć sobie	pragnąć|łaknąć|pożądać|łakomić się
posiąść	mieć|być w posiadaniu|posiadać
przejąć się|zaniepokoić się	przejmować się|niepokoić się
zmartwić się|strapić się|zasmucić się|zatroszczyć się|zatroskać się|zatrwożyć się	gnębić się|martwić się|gryźć się|zamartwiać się|trapić się|troszczyć się|trwożyć się
zapragnąć	pożądać|pragnąć
upodobnić się	przypominać
zapalić się|zapłonąć	palić się|płonąć
zaświecić	świecić|palić się
rozbłysnąć|błysnąć	błyszczeć|świecić się|świecić|lśnić|połyskiwać|jaśnieć|lśnić się|błyszczeć się|jarzyć się|promienieć|szklić się|żarzyć się
rozjarzyć się|rozżarzyć się	żarzyć się
rozjarzyć się	malować się|odbijać się|odmalowywać się|wymalowywać się|odzwierciedlać się|odwzorowywać się|bić
zachwycić się|zauroczyć się|oczarować się|zafascynować się	zachwycać się|achać|entuzjazmować się|fascynować się
zaczerwienić się|spąsowieć|spurpurowieć|poczerwienieć|zapłonić się	wyrażać|okazywać|uzewnętrzniać|objawiać
zachorować|rozchorować się|zapaść|pochorować się|zaniemóc	chorować|cierpieć|niedomagać|szwankować|szwankować na zdrowiu
stać się|zmienić się|zostać|zrobić się	być|to
stać się|zmienić się|zostać|zrobić się	być
uklęknąć|klęknąć	klęczeć
stanąć	stać
stulić buzię|stulić pysk|stulić gębę|stulić dziób|stulić mordę|stulić ryj|stulić ryja|zamknąć buzię na kłódkę|przymknąć się|zamknąć gębę na kłódkę|zamknąć mordę na kłódkę|zamknąć się|stulić się|przytkać się	trzymać buzię na kłódkę|trzymać mordę na kłódkę|trzymać gębę na kłódkę
pokryć	pokrywać
zapalić|zakurzyć|zaćmić|zakopcić	palić|ćmić|kurzyć|kopcić
rozmigotać się	świecić|palić się
rozmigotać się	mienić się
począć się	być|istnieć|egzystować
wystąpić	występować
rozgniewać|rozsierdzić|rozeźlić	gniewać
rozgniewać się|rozsierdzić się|rozeźlić się	gniewać się
rozzłościć się|zezłościć się	złościć się
wściec się	wściekać się
zbiesić się	biesić się
przygnieść|dobić|przybić|przytłoczyć|przywalić	przygniatać|ciążyć kamieniem|ciążyć ołowiem|dobijać|przybijać|przytłaczać|przywalać
rozwinąć się	atakować|nacierać|iść|najeżdżać|napierać|szturmować|uderzać
rozćwierkać się|rozświergotać się	ćwierkać|świergotać|świergolić|ciurkać
rozćwierkać się	rozmawiać|dialogować|mówić
potoczyć się	toczyć się
popłynąć|pójść	płynąć|iść
jąć się	robić|wytwarzać
spocząć	spoczywać
spocząć	leżeć|spoczywać
polubić	lubić|sympatyzować|sprzyjać
wziąć w cugle|wziąć w karby|wziąć w ryzy	trzymać krótko|trzymać w rygorze|trzymać w posłuszeństwie|trzymać w cuglach|trzymać w karbach|trzymać w ryzach
ruszyć	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
napocząć|naruszyć|ruszyć	zużywać
zaakceptować	akceptować
wziąć pod pantofel	trzymać pod pantoflem
pokochać	kochać|obdarzać uczuciem|darzyć uczuciem|darzyć miłością|obdarzać miłością
zamieszkać	mieszkać
pójść w ślady|pójść śladem|wstąpić w ślady	naśladować|wzorować się|brać przykład|brać wzór|iść za przykładem|iść za wzorem|imitować|odtwarzać
podnieść	przenosić|nieść|unosić
znienawidzić	nienawidzić
