półokrągły	półokrąg
sinusoidalny	sinusoida
stożkowaty	stożek
tarczowaty	tarcza
walcowaty	walec
wężowaty	wąż
wrzecionowaty	wrzeciono
łopatkowaty	łopatka
brzuchaty	brzuch
tyczkowaty	tyczka
tyczkowaty	tyczka
bekonowy	bekon
kredowy	kreda
marmurkowy	marmurek
kawowy	kawa
kawowy	kawa
przebojowy	przebój
puszkinowski	Puszkin
parasolowy	parasol
falowy	fala
pająkowaty	pająk
pazurzasty	pazur
płetwiasty	płetwa
pałąkowaty	pałąk
poetycki	poezja
kabłąkowaty	kabłąk
klocowaty	kloc
klocowaty	kloc
klocowaty	kloc
patykowaty	patyk
patykowaty	patyk
sękaty	sęk
szczudłowaty	szczudło
szponiasty	szpon
słoniowaty	słoń
słoniowaty	słoń
harmonijkowy	harmonijka
mączysty	mąka
tolkienowski	Tolkien
gorączkowy	gorączka
pytyjski	Pytia
kosmetyczny	kosmetyka
kalejdoskopowy	kalejdoskop
guzowaty	guz
dymny	dym
ścięgnisty	ścięgno
łukowy	łuk
arabeskowy	arabeska
barokowy	barok
cyceroński	Cyceron
empirowy	empire
klasycystyczny	klasycyzm
gazeciarski	gazeta
bestialski	bestia
frajerski	frajer
ananasowy	ananas
gruszkowy	gruszka
jeżynowy	jeżyna
kleszczowy	kleszcze
pęcherzykowaty	pęcherzyk
gwiaździsty	gwiazda
gwieździsty	gwiazda
gwiaździsty	gwiazda
gwieździsty	gwiazda
muszlowy	muszla
muszlowy	muszla
ołowiany	ołów
budyniowy	budyń
budyniowy	budyń
zabawowy	zabawa
skrzynkowy	skrzynka
pudełkowy	pudełko
lwi	lew
aksamitny	aksamit
literacki	literatura
bluesowy	blues
operetkowy	operetka
atłasowy	atłas
kloszowy	klosz
nieckowaty	niecka
blaszkowaty	blaszka
guzikowy	guzik
dereszowaty	deresz
skrzydlaty	skrzydło
baniasty	bania
beczkowy	beczka
blaszany	blacha
cebulasty	cebula
kopulasty	kopuła
ostrosłupowy	ostrosłup
sferoidalny	sferoida
siodłowaty	siodło
soczewkowaty	soczewka
spiralny	spirala
łukowaty	łuk
workowaty	worek
workowaty	worek
rasistowski	rasista
arystotelesowski	Arystoteles
heglowski	Hegel
kantowski	Kant
platoński	Platon
spekulatywny	spekulacja
galaretowaty	galareta
gumowaty	guma
kakaowy	kakao
kakaowy	kakao
mazisty	maź
papkowaty	papka
śluzowaty	śluz
sensacyjny	sensacja
szwejkowski	Szwejk
horrendalny	horrendum
krzewiasty	krzew
kaczkowaty	kaczka
lunatyczny	lunatyk
mongoloidalny	mongoloid
katorżniczy	katorga
poczwarny	poczwara
pokraczny	pokraka
puchaty	puch
robaczy	robak
upiorny	upiór
zgiełkliwy	zgiełk
tortowy	tort
łańcuszkowy	łańcuszek
koguci	kogut
bliznowaty	blizna
rakowaty	rak
siateczkowaty	siateczka
tunelowy	tunel
kamienny	kamień
kolankowy	kolanko
marmurowy	marmur
mozaikowy	mozaika
mozaikowaty	mozaika
balzakowski	Balzak
fredrowski	Fredro
karykaturalny	karykatura
komiksowy	komiks
sienkiewiczowski	Sienkiewicz
tykowaty	tyka
tykowaty	tyka
gargantuiczny	Gargantua
gargantuiczny	Gargantua
opalowy	opal
herodowy	Herod
bukoliczny	bukolika
elegijny	elegia
horacjański	Horacy
hymniczny	hymn
panegiryczny	panegiryk
płaszczowy	płaszcz
sierpowy	sierp
ślimakowy	ślimak
pofalowany	fala
dzwonowaty	dzwon
stożkowy	stożek
lejkowaty	lejek
lejowaty	lej
gruczołowaty	gruczoł
głowiasty	głowa
kryształowy	kryształ
kryształowy	kryształ
kubełkowy	kubełek
piłkowany	piłka
zdrewniały	drewno
ząbkowany	ząb
miodny	miód
miodowy	miód
guzkowaty	guzek
guzkowaty	guzek
mieczykowaty	mieczyk
prostoliniowy	linia
perlisty	perła
wiechowaty	wiecha
plackowaty	placek
pieniacki	pieniacz
kielichowy	kielich
głupkowaty	głupek
głupowaty	głup
tenorowy	tenor
barytonowy	baryton
basowy	bas
bełkotliwy	bełkot
bełkotliwy	bełkot
chrapliwy	chrapanie
dychawiczny	dychawica
gromowy	grom
jazgotliwy	jazgot
metaliczny	metal
metaliczny	metal
pijacki	pijak
pijacki	pijak
rozpłakany	płacz
skrzekliwy	skrzek
śpiewny	śpiew
świergotliwy	świergot
szczebiotliwy	szczebiot
szczekliwy	szczek
szczekliwy	szczek
labiryntowy	labirynt
klockowaty	klocek
pudełkowaty	pudełko
amfiteatralny	amfiteatr
biesiadny	biesiada
lustrzany	lustro
zwierciadlany	zwierciadło
atletyczny	atleta
baryłkowaty	baryłka
gumiasty	guma
szkieletowaty	szkielet
szkieletowaty	szkielet
ciastowaty	ciasto
kluchowaty	klucha
szczurzy	szczur
lalkowaty	lalka
lisi	lis
mięsisty	mięso
pokerowy	poker
pucułowaty	puca
władczy	władca
anielski	anioł
anielski	anioł
szlamowaty	szlam
żelazisty	żelazo
mrówczy	mrówka
niewolniczy	niewolnictwo
piramidalny	piramida
włoskowaty	włosek
hipisowski	hipis
koci	kot
wężowy	wąż
kolisty	koło
machinalny	machina
sekciarski	sekta
trzepotliwy	trzepot
cytrynowożółty	cytryna
tęczowy	tęcza
przedsiębiorczy	przedsiębiorca
chmurny	chmura
mickiewiczowski	Mickiewicz
norwidowski	Norwid
talmudyczny	Talmud
pierścienny	pierścień
cebulkowaty	cebulka
motylkowaty	motyl
stalowy	stal
bulwiasty	bulwa
garbaty	garb
haczykowaty	haczyk
kartoflowaty	kartofel
krogulczy	krogulec
laskonogi	laska
sępi	sęp
marionetkowy	marionetka
tyrański	tyran
iglasty	igła
sosnowy	sosna
główkowaty	główka
klinowy	klin
klinowaty	klin
księżycowaty	księżyc
mamuci	mamut
ramienny	ramię
szczękowy	szczęka
łódkowaty	łódka
patriarchalny	patriarcha
dzwonkowaty	dzwonek
kielichowaty	kielich
języczkowaty	języczek
rurkowaty	rurka
lancetowaty	lancet
