kolisko	koło|kółko
niedźwiedzisko	niedźwiedź
teka	teczka
tomisko|tomiszcze	tom|wolumin|wolumen
kurdupel|knypek|karypel|pigmej	karzeł
psina	pies
psisko	pies
psiunia	pies
poducha	poduszka
mieszczuch|miastowiec	miastowy
