rządzić|panować|władać|włodarzyć|trzymać ster rządów|mieć władzę|sprawować rządy|dzierżyć ster rządów	władca|panujący|hierarcha|pan
walczyć	bojownik
zawdzięczać	dłużnik
mieć|być w posiadaniu|posiadać	właściciel|posiadacz
przyjaźnić się	przyjaciel
nudzić|marudzić	nudziarz|maruda
grymasić|nudzić|marudzić|wybrzydzać	maruda|grymaśnik|kapryśnik
okalać|obramowywać|ogradzać|ograniczać	ogrodzenie
opasywać|przepasywać	przepaska|opaska
obstawiać	ochrona
lizusować	lizus|fagas|pochlebca|klakier|przypochlebca|cmokier
dzielić	przeszkoda
repetować|zimować	poprawkowicz|repetent
pociągnąć|przynieść	przyczyna|powód|źródło
kumplować się|kolegować się	kolega|kamrat|kumpel
wierzyć	wyznawca|wierzący
uczestniczyć|mieć udział	wspólnik|partner
różnić	różnica|rozbieżność|rozdźwięk|dywergencja|dyferencja
kurwić się|dawać dupy	kurwa|kurwiszcze|kurwiszon|małpa|ścierka|wycieruch|wyciruch|lafirynda|dziwa|wycierus
pielgrzymować	pielgrzym|pielgrzymowicz
wygłupiać się|błaznować|figlować	błazen|klaun|klown|clown|głupek|komediant
aspirować|pretendować|kandydować	kandydat|pretendent|aspirant
tonąć|zapadać	nierozdzielność|nierozerwalność|jednolitość|spoistość|nierozłączność|jedność|spójność|jednia|zwartość|koherencja|koherentność
fundować	fundator
symbolizować	symbol|ikona|synonim
znać się	znawca
kurwić się	kurwa
sekretarzować	sekretarz
chorować na głowę	szalona głowa|wariat|świr|czubek|półwariat|chory na głowę
