agentka	agent
modniarka	modniarz
Cyganka	Cygan
cyganka	cygan
cyganeczka	cyganek
czarnucha	czarnuch
dwudziestolatka	dwudziestolatek
wampirzyca	wampir
okrutnica	okrutnik
wampirzyca	wampir
dręczycielka	dręczyciel
boginka	bożek
dalmatynka	dalmatyńczyk
Dalmatynka	Dalmatyńczyk
Chorwatka	Chorwat
praktykantka	praktykant
rejestratorka	rejestrator
sanitariuszka	sanitariusz
stażystka	stażysta
stenotypistka	stenotypista
konkubina	konkubin
konkubina	konkubent
przeorysza	przeor
Spartanka	Spartanin
spartanka	spartanin
bokserka	bokser
sylfida	sylf
brzydula	brzydal
topielica	topielec
topielica	topielec
Hiszpanka	Hiszpan
alkoholiczka	alkoholik
partyzantka	partyzant
alpejka	alpejczyk
arcymistrzyni	arcymistrz
baseballistka	baseballista
brydżystka	brydżysta
chodziarka	chodziarz
deblistka	deblista
gimnastyczka	gimnastyk
kulturystka	kulturysta
lekkoatletka	lekkoatleta
maratonka	maratończyk
młociarka	młociarz
narciarka	narciarz
płotkarka	płotkarz
pływaczka	pływak
saneczkarka	saneczkarz
sportsmenka	sportsmen
sprinterka	sprinter
szachistka	szachista
sztangistka	sztangista
tyczkarka	tyczkarz
wioślarka	wioślarz
łyżwiarka	łyżwiarz
debiutantka	debiutant
gimnazjalistka	gimnazjalista
maturzystka	maturzysta
skandalistka	skandalista
aferzystka	aferzysta
awanturnica	awanturnik
cudzołożnica	cudzołożnik
osiemnastolatka	osiemnastolatek
cudzoziemka	cudzoziemiec
szlachcianka	szlachcic
magnatka	magnat
diuszesa	diuk
więźniarka	więzień
żołnierka	żołnierz
akuszerka	akuszer
olbrzymka	olbrzym
stara	stary
stulatka	stulatek
facetka	facet
masażystka	masażysta
oślica	osioł
oślica	osioł
współlokatorka	współlokator
sublokatorka	sublokator
czternastolatka	czternastolatek
arabka	arab
jejmość	jegomość
mieszczanka	mieszczanin
piętnastolatka	piętnastolatek
rybaczka	rybak
siedemnastolatka	siedemnastolatek
szesnastolatka	szesnastolatek
starościna	starosta
emigrantka	emigrant
obywatelka	obywatel
rodaczka	rodak
Belgijka	Belg
Finka	Fin
Japonka	Japończyk
Greczynka	Grek
biedaczka	biedak
pingpongistka	pingpongista
florecistka	florecista
szpadzistka	szpadzista
szablistka	szablista
zapaśniczka	zapaśnik
administratorka	administrator
delegatka	delegat
gaździna	gazda
imienniczka	imiennik
jubilatka	jubilat
katechetka	katecheta
kontynuatorka	kontynuator
kurierka	kurier
naczelniczka	naczelnik
pogromczyni	pogromca
pogromczyni	pogromca
powódka	powód
pracowniczka	pracownik
prekursorka	prekursor
profesorka	profesor
rugbistka	rugbista
szczypiornistka	szczypiornista
Szwajcarka	Szwajcar
Walijka	Walijczyk
Szkotka	Szkot
Brytyjka	Brytyjczyk
Austriaczka	Austriak
Chinka	Chińczyk
Czeszka	Czech
Etiopka	Etiopczyk
Abisynka	Abisyńczyk
Francuzka	Francuz
Hellenka	Hellen
Hinduska	Hindus
Induska	Indus
Pepiczka	Pepiczek
Iranka	Irańczyk
Izraelka	Izraelczyk
Jugosłowianka	Jugosłowianin
Litwinka	Litwin
Niemka	Niemiec
Szwabka	Szwab
zastępczyni	zastępca
łączniczka	łącznik
Słowaczka	Słowak
Polka	Polak
szkopka	szkop
Aryjka	Aryjczyk
Żydówka	Żyd
Rakuszanka	Rakuszanin
Sarmatka	Sarmata
Rosjanka	Rosjanin
Ruska	Ruski
Sowietka	Sowiet
Tajlandka	Tajlandczyk
Syjamka	Syjamczyk
Jankeska	Jankes
Węgierka	Węgier
Madziarka	Madziar
Wietnamka	Wietnamczyk
Włoszka	Włoch
Europejka	Europejczyk
Słowianka	Słowianin
Ukrainka	Ukrainiec
Słowenka	Słoweniec
Szwedka	Szwed
Azjatka	Azjata
Afrykanka	Afrykanin
czarna	czarny
Egipcjanka	Egipcjanin
Libijka	Libijczyk
Buszmenka	Buszmen
Afrykanerka	Afrykaner
Kenijka	Kenijczyk
Watykanka	Watykańczyk
Rzymianka	Rzymianin
Armenka	Armeńczyk
Ormianka	Ormianin
Rumunka	Rumun
Amerykanka	Amerykanin
Latynoska	Latynos
Australijka	Australijczyk
Aborygenka	Aborygen
powinowata	powinowaty
krewniaczka	krewniak
spowinowacona	spowinowacony
handlarka	handlarz
przekupka	przekupień
straganiarka	straganiarz
zieleniarka	zieleniarz
karczmarka	karczmarz
tkaczka	tkacz
uciekinierka	uciekinier
pani	pan
panująca	panujący
cesarzowa	cesarz
caryca	car
carowa	car
regentka	regent
krakowiaczka	krakowiak
krakuska	krakus
poznanianka	poznanianin
poznaniaczka	poznaniak
obywatelka	obywatel
warszawianka	warszawianin
wrocławianka	wrocławianin
marzycielka	marzyciel
optymistka	optymista
swatka	swat
entuzjastka	entuzjasta
tercjarka	tercjarz
flirciara	flirciarz
nieprzyjaciółka	nieprzyjaciel
nieprzyjaciółka	nieprzyjaciel
wysłanniczka	wysłannik
koteczka	koteczek
posiadaczka	posiadacz
solenizantka	solenizant
kantorka	kantor
Babilonka	Babilończyk
Tatarka	Tatar
patrycjuszka	patrycjusz
patrycjuszka	patrycjusz
proletariuszka	proletariusz
Sarmatka	Sarmata
Semitka	Semita
adwokatka	adwokat
amatorka	amator
amatorka	amator
amatorka	amator
amatorka	amator
zausznica	zausznik
charakteryzatorka	charakteryzator
gwarantka	gwarant
poręczycielka	poręczyciel
intelektualistka	intelektualista
intelektualistka	intelektualista
judaistka	judaista
judaistka	judaista
korespondentka	korespondent
lektorka	lektor
matematyczka	matematyk
matematyczka	matematyk
operatorka	operator
operatorka	operator
operatorka	operator
kamerzystka	kamerzysta
operatorka kamery	operator kamery
pilotka	pilot
pilotka	pilot
pokutnica	pokutnik
profesjonalistka	profesjonalista
profesjonalistka	profesjonalista
terrorystka	terrorysta
znawczyni	znawca
dobrodziejka	dobrodziej
dwórka	dworak
fundatorka	fundator
fundatorka	fundator
grubaska	grubas
hrabianka	hrabicz
infantka	infant
Mulatka	Mulat
następczyni	następca
nieboszczka	nieboszczyk
oblubienica	oblubieniec
okularnica	okularnik
potomkini	potomek
prawnuk	prawnuczka
pretendentka	pretendent
protektorka	protektor
chórzystka	chórzysta
spadkobierczyni	spadkobierca
szatynka	szatyn
służka	sługa
trzpiotka	trzpiot
ulubienica	ulubieniec
faworytka	faworyt
pupilka	pupil
nosicielka	nosiciel
nosicielka	nosiciel
wybranka	wybranek
wychowanica	wychowanek
wychowanica	wychowanek
dewotka	dewot
wykonawczyni	wykonawca
konferansjerka	konferansjer
bibliotekarka	bibliotekarz
kuracjuszka	kuracjusz
prorokini	prorok
kapucynka	kapucyn
stróżka	stróż
adresatka	adresat
pensjonariuszka	pensjonariusz
chrześcijanka	chrześcijanin
Izraelitka	Izraelita
żydówka	żyd
izraelitka	izraelita
katoliczka	katolik
miłośniczka	miłośnik
wielbicielka	wielbiciel
patriotka	patriota
protestantka	protestant
wyznawczyni	wyznawca
zwolenniczka	zwolennik
baptystka	baptysta
higienistka	higienista
higienistka	higienista
bernardynka	bernardyn
benedyktynka	benedyktyn
cysterka	cysters
dominikanka	dominikanin
franciszkanka	franciszkanin
karmelitanka	karmelita
mistyczka	mistyk
norbertanka	norbertanin
samarytanka	samarytanin
lunatyczka	lunatyk
somnambuliczka	somnambulik
żywicielka	żywiciel
dropiata	dropiaty
gniada	gniady
kara	kary
wrona	wrony
kasztanka	kasztanek
siwa	siwy
bułana	bułany
dereszowata	dereszowaty
skarogniada	skarogniady
karogniada	karogniady
lamparcica	lampart
winowajczyni	winowajca
komunistka	komunista
męczennica	męczennik
bratanka	bratanek
dojarka	dojarz
srokata	srokaty
tygrysica	tygrys
bachantka	bachant
doradczyni	doradca
branka	braniec
konkurentka	konkurent
orędowniczka	orędownik
pionierka	pionier
pionierka	pionier
pocieszycielka	pocieszyciel
pośredniczka	pośrednik
pośredniczka	pośrednik
powiernica	powiernik
powierniczka	powiernik
sojuszniczka	sojusznik
sprawczyni	sprawca
szafarka	szafarz
szafarka	szafarz
wspólniczka	wspólnik
wspólniczka	wspólnik
współpracowniczka	współpracownik
współpracownica	współpracownik
kajakarka	kajakarz
stypendystka	stypendysta
rekordzistka	rekordzista
dozorczyni	dozorca
oberżystka	oberżysta
posługaczka	posługacz
rozmówczyni	rozmówca
śpioszka	śpioch
Algierka	Algierczyk
Argentynka	Argentyńczyk
Brazylijka	Brazylijczyk
Dunka	Duńczyk
Estonka	Estończyk
Norweżka	Norweg
Gruzinka	Gruzin
Azerbejdżanka	Azerbejdżanin
Gwinejka	Gwinejczyk
Albanka	Albańczyk
Holenderka	Holender
Niderlandka	Niderlandczyk
lokatorka	lokator
klucznica	klucznik
sędzina	sędzia
Luksemburka	Luksemburczyk
luksemburka	luksemburczyk
Indonezyjka	Indonezyjczyk
Irakijka	Irakijczyk
Jamajka	Jamajczyk
Macedonka	Macedończyk
rzymianka	rzymianin
Libanka	Libańczyk
Malezyjka	Malezyjczyk
Mołdawianka	Mołdawianin
ćwierćfinalistka	ćwierćfinalista
finalistka	finalista
kadrowiczka	kadrowicz
obrończyni	obrońca
olimpijka	olimpijczyk
półfinalistka	półfinalista
triumfatorka	triumfator
tryumfatorka	tryumfator
zdobywczyni	zdobywca
łuczniczka	łucznik
chichotka	chichot
rówieśnica	rówieśnik
rzeźniczka	rzeźnik
szczęściara	szczęściarz
turzyca	tur
krowiarka	krowiarz
tramwajarka	tramwajarz
dawczyni	dawca
domatorka	domator
przyjaciółka	przyjaciel
portrecistka	portrecista
portrecistka	portrecista
pejzażystka	pejzażysta
apologetka	apologetyk
apologetka	apologeta
autostopowiczka	autostopowicz
bigotka	bigot
wartowniczka	wartownik
aptekarka	aptekarz
aptekarka	aptekarz
celniczka	celnik
cwaniaczka	cwaniak
drużka	drużba
lichwiarka	lichwiarz
listonoszka	listonosz
milicjantka	milicjant
protokolantka	protokolant
protokólantka	protokólant
prymuska	prymus
rencistka	rencista
rezydentka	rezydent
rowerzystka	rowerzysta
rzemieślniczka	rzemieślnik
cerowaczka	cerowacz
hafciarka	hafciarz
ochotniczka	ochotnik
sześciolatka	sześciolatek
wiceprzewodnicząca	wiceprzewodniczący
gitarzystka	gitarzysta
harfistka	harfista
dublerka	dubler
alpinistka	alpinista
animatorka	animator
animatorka	animator
animatorka	animator
architektka	architekt
bojowniczka	bojownik
choreografka	choreograf
dramatopisarka	dramatopisarz
dyrygentka	dyrygent
felietonistka	felietonista
filozofka	filozof
ilustratorka	ilustrator
krytyczka	krytyk
krytyczka	krytyk
montażystka	montażysta
