mieszkalny	mieszkać
gościnny	gościć
uczęszczany	uczęszczać
przewiewny	przewiewać
ustawny	ustawić
poprawczy	poprawiać
wyładowczy	wyładować
przechodni	przechodzić
przechodni	przechodzić
kopny	kopać
jadalny	jadać
zlewny	zlewać
bawialny	bawić się
przejściowy	przejść
sypialny	sypiać
polerski	polerować
zajezdny	zajechać
wlewowy	wlewać
frymarczny	frymarczyć
gwiazdotwórczy	tworzyć się
rozgrzewkowy	rozgrzewać się
rozbiegowy	rozbiegać się
poczekalny	poczekać
osadczy	osadzać się
odstawczy	odstawiać
