decydować|rozstrzygać|stanowić|przesądzać	rozstrzygać się|ważyć się|decydować się
doręczać|oddawać	dochodzić
formułować|wyrażać|ujmować|artykułować	formułować się
kojarzyć|łączyć|wiązać	kojarzyć się|łączyć się|wiązać się
kłaść	leżeć|spoczywać
liczyć|obliczać|obrachowywać|wyliczać	wychodzić
usuwać|likwidować|eliminować|pozbywać się	odchodzić
usuwać|likwidować|eliminować|pozbywać się	dematerializować się|znikać
miąć|gnieść|giąć|międlić|wygniatać|zagniatać|zgniatać|tłamsić|miętosić	gnieść się|miąć się
myśleć|rozumować|dumać|medytować|rozmyślać	chodzić po głowie
nawiązywać|zawiązywać	zawiązywać się
nazywać|nadawać imię	nazywać się|zwać się
niepokoić|denerwować|trapić|martwić|frasować|gnębić	gnębić się|martwić się|gryźć się|zamartwiać się|trapić się|troszczyć się|trwożyć się
nieść	iść
osądzać|sądzić|oceniać|wartościować	wydawać się|zdawać się
oddawać|zwracać	powracać|wracać
tworzyć|budować|stwarzać|kreować	tworzyć się|powstawać
podzielić	podzielić się|rozdzielić się
ruszać|poruszać	poruszać się
przekazywać|powtarzać	iść
pozwalać	móc|być w stanie|być w mocy
prowadzić|wieść	prowadzić się
wydłużać|podłużać	przedłużać się|wydłużać się
przekonywać|perswadować	przekonywać się
przeznaczać	iść
przyjmować	przyjmować się
rozwijać|odwijać	rozwijać się|odwijać się
sprzedawać|zbywać|przehandlowywać	sprzedawać się
stawiać|ustawiać	stawać
strzelać|wystrzeliwać|bić|kropić|łupać|przygrzewać|rąbać|pukać|tłuc|walić|wygarniać|wypalać|dogrzewać	wylatywać
ujawniać|wyjawiać|zdradzać|odkrywać	wychodzić na jaw|ujawniać się|wychodzić na światło dzienne|wydawać się
odsuwać|usuwać|zabierać	odsuwać się
widzieć	widać
wychowywać|chować	wychowywać się|wzrastać|chować się|wyrastać|rosnąć
odsunąć|usunąć|zabrać	odsunąć się
ogarniać|opanowywać|wypełniać|obejmować|przepełniać|unosić|przenikać	czuć|odczuwać
wystarczać|starczać	zadowalać się
zaliczać	zaliczać się|kwalifikować się|klasyfikować się
zamykać|zawierać	zamykać się
zapominać	goić się|zabliźniać się
zastanawiać|dawać do myślenia	zastanawiać się|głowić się|główkować|brać na rozum|zachodzić w głowę|kombinować
wiedzieć|mieć świadomość|być świadomym	wiadomo
znajdować|odszukiwać|odnajdować|odnajdywać|znajdywać	odnajdywać się|znajdować się|odnajdować się
zwiększać|powiększać	zwiększać się|rosnąć|powiększać się|rozrastać się
dekompletować	dekompletować się
kraść|zgarniać|zwijać	znikać
zachowywać|przechowywać	pamiętać|nosić w pamięci|mieć w pamięci
wzruszać|rozczulać|roztkliwiać|rozrzewniać|rozkrochmalać	wzruszać się|rozczulać się|roztkliwiać się|rozklejać się|rozrzewniać się|rozkrochmalać się
śmieszyć|rozśmieszać|rozbawiać	śmiać się
satysfakcjonować|zadowalać	zadowalać się
produkować|wykonywać	pojawiać się
gasić|wygaszać|zagaszać	gasnąć
umieszczać|lokować|sytuować|umiejscawiać|usadawiać	lokować się|umieszczać się
umieszczać|lokować|sytuować|umiejscawiać|usadawiać	wychodzić
zanieczyszczać	zanieczyszczać się
informować|udzielać informacji	dowiadywać się
unieważniać	unieważniać się
przygasnąć	ściemnieć|ściemnić się|pociemnieć
piec	piec się
dzielić	dzielić się|rozdzielać się
drukować	drukować się
robić|wytwarzać	być|istnieć|egzystować
podporządkowywać	podporządkowywać się|stosować się
uzależniać	uzależniać się
chrzcić	chrzcić się
czyścić|oczyszczać|wyczyszczać	czyścić się|wyczyszczać się
płukać|opłukiwać|wypłukiwać	opłukiwać się
włączać	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
domykać	domykać się
nagrywać	nagrywać się
odstawiać	odchodzić
doświadczać pozytywnego uczucia	dziękować
komunikować	wiedzieć|mieć świadomość|być świadomym
zarażać|infekować	zarażać się
zarażać	zarażać się
poić	pić|drinkować|wypijać|wlewać ... w siebie
przemieszczać	przemieszczać się|poruszać się|przenosić się
budować|wznosić|stawiać	stać
budować|wznosić|stawiać	wyrastać|budować się
orientować	rozeznawać|orientować się|rozeznawać się
brudzić|babrać|paprać|zabrudzać	brudzić się
błocić	błocić się
wydalać|oddawać	odchodzić
rodzić	przyjmować poród|odbierać poród|przyjmować na świat
rodzić	rodzić się|przychodzić na świat
rozszczepiać	rozszczepiać się
mleć|mielić	mleć się
wietrzyć|przewietrzać|wentylować	przewietrzać się|wietrzyć się
kisić|kwasić|ukwaszać|zakwaszać|zakiszać	kwasić się|kisić się|ukwaszać się|zakiszać się|zakwaszać się
konserwować	konserwować się
marynować	marynować się
dusić	dusić się
przysmażać|podsmażać	podsmażać się
wytapiać	wytapiać się
spalać	spiekać się|spalać się
spalić	spiec się|spalić się
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	rozgrzewać się|nagrzewać się|ogrzewać się|grzać się
garbić się	garbić
oburzać|bulwersować|wzburzać	oburzać się|bulwersować się|wzburzać się|obruszać się
podniecać|ekscytować|emocjonować	podniecać się|ekscytować się|emocjonować się
frustrować	frustrować się
stresować	stresować się
podgrzewać	podgrzewać się
rozpryskiwać|rozbryzgiwać|rozchlapywać	rozpryskiwać się|rozbryzgiwać się
unowocześniać|modernizować	modernizować się|unowocześniać się
burzyć|wzburzać	wzburzać się
wkurwiać|wkurzać|wpieprzać	wkurwić się|wkurzyć się
rozbudowywać	rozbudowywać się
rozbudowywać	rozbudowywać się
kołysać|bujać	kołysać się
zagrzać|ogrzać|rozgrzać|nagrzać|ocieplić	rozgrzać się|nagrzać się|ogrzać się
zmiękczać|miękczyć	mięknąć|zmiękczać się
kolebać	kolebać się
nawiewać|nadmuchiwać	napływać
wyżłabiać|żłobić	wyżłabiać się
ewakuować	ewakuować się
osiedlać|osadzać	osiedlać się|osiadać|osadzać się
przebijać	przebijać się
nasycać	nasycać się
nasączać	nasiąkać|naciągać|przesiąkać|przenikać|przechodzić
zagłębiać|wgłębiać	zagłębiać się|wgłębiać się
zdemaskować|zdekonspirować|obnażyć	zdekonspirować się
załamywać|podcinać|łamać|uginać|rozkładać	załamywać się|łamać się
