zabielić	biały
wsławić|rozsławić|opromienić	słynny|sławny
zakwasić	kwaśny|kwasowy
zaostrzyć	ostrzejszy
otrzeźwić|ocucić|oprzytomnić	trzeźwy
ocienić|zacienić	cienistszy
znać	znany
upstrzyć	pstry|pstrokaty
uzupełnić|dopełnić	pełny|pełen
zatłuścić	tłusty
sfalować	pofalowany|falisty
opuścić	nieobecny
przemoczyć	mokry
zgiąć|wygiąć	wygięty
rozprostować|wyprostować|naprostować|odgiąć|rozgiąć|wyrównać	prosty
skrzywić|wykrzywić|wykoślawić|zakrzywić	krzywy
zaciemnić	ciemniejszy
splątać|poplątać	splątany|poplątany|pogmatwany|zamotany
rozkleić	lepki|klejowaty|kleisty|klejący|czepny|klejki
obostrzyć|zaostrzyć	surowszy
zradykalizować|uradykalnić	bezkompromisowy
połączyć	związany
zmechacić|skosmacić	mechaty|kosmaty
udrożnić	drożny
udrożnić	drożny
nabłyszczyć	błyszczący|lśniący|połyskujący|łyskliwy
zmiękczyć	czuły|tkliwy
obielić|pobielić|ubielić	biały
pobielić|ubielić	biały
pobielić|ubielić	siwy|osiwiały|przyprószony siwizną|zsiwiały|posiwiały
ustalić	stały
umocnić	trwały
ośmielić	śmiały
upłynnić	ciekły|płynny
nawilżyć	wilgotny
wymrozić	zmarznięty|zmarzły
podnieść	wyższy
podnieść	wyższy
przygotować|przyszykować|uszykować|naszykować	gotowy|gotów
zbliżyć|przybliżyć	bliski
przybliżyć	bliski
wyzyskać|wykorzystać|użyć|spożytkować|zużytkować	użyteczny
ocieplić	ciepły
oziębić	zimny
ośmieszyć	śmieszny
napłynąć|nabiec|nabiegnąć	nabiegły|nabrzmiały
wyswobodzić|wyzwolić|uwolnić|oswobodzić	niepodległy|niezawisły
wypuczyć|uwypuklić|wysklepić	wypukły
forsować	sforsowany
spłaszczyć|rozpłaszczyć	płaski
wystawić się	widoczny
obłaskawić	łaskawy
uszczęśliwić	szczęśliwy
unieszczęśliwić	nieszczęśliwy|bidny
orzeźwić|odświeżyć	świeży|rzeźwy|rześki
orzeźwić|odświeżyć	świeży|rzeźwy|rześki
zdefektować	wadliwy
zrewaluować	wartościowy
uczulić|uwrażliwić|wyczulić	czuły|wyczulony
znieczulić	zimny
zmiękczyć	delikatny|łagodny|subtelny
uzdrowić	zdrowy
uzdrowić	zdrowy
ściszyć|przyciszyć	cichszy
zezłościć|rozzłościć	gniewny|rozzłoszczony|zły|rozgniewany|wzburzony|zagniewany
poluzować|rozluźnić|poluźnić|obluzować	luźniejszy
przechłodzić|przeziębić	chłodniejszy
odłączyć|odjąć	odłączony
sformalizować	formalny|oficjalny
rozjaśnić	jasny
rozjaśnić|przejaśnić	zrozumiały|przystępny|jasny|klarowny|przejrzysty
rozjaśnić	zrozumiały|przystępny|jasny|klarowny|przejrzysty
zantagonizować	wrogi|nieprzyjacielski
spodlić	podły
zapchać|zatłoczyć	zatłoczony
zasymilować|upodobnić	podobny
wzbogacić	bogatszy
przesłodzić	ckliwy|czułostkowy
znarowić	narowisty
znarowić	samowolny|swawolny|swywolny
pokrzepić|skrzepić	silny
uruchomić	czynny
postawić ... w stan pogotowia|postawić ... w stan gotowości	czujny
zorientować	zorientowany
uwstecznić	uwsteczniony
ogołocić	ogołocony
wydelikacić	delikatny|subtelny
wybrylantować	błyszczący|lśniący|połyskujący|łyskliwy
skrócić się	krótszy
umilić|uprzyjemnić	przyjemniejszy
delegalizować	nielegalny|nieprawny|lewy
zdelegalizować	nielegalny|nieprawny|lewy
odbić	stuknięty|szajbnięty|rąbnięty
otępić	otępiały|stępiały
kanonizować	kanonizowany|święty
spaść|upaść|utuczyć	gruby|spasły
skomunizować	komunistyczny|bolszewicki|czerwony|czerwonkowy
spłycić	płytki|niegłęboki
osamotnić	samotny
zneutralizować|zobojętnić	obojętny|neutralny
zaokrąglić	okrągły|zaokrąglony|krągły
zaokrąglić	zaokrąglony
ścieśnić	ciaśniejszy
ścieśnić	zwarty|ścisły
rozjuszyć	rozżarty|rozjuszony|rozjadły
rozwścieczyć	wściekły|rozwścieczony
stępić	nieostry|tępy
zawęzić	węższy
skomunalizować	komunalny
upaństwowić|znacjonalizować	państwowy|kazionny
zasłonić|osłonić	niewidoczny|niewidzialny
nagłośnić	głośniejszy
upublicznić	publiczny
zniżyć	tańszy
zacieśnić	ciaśniejszy
odkarmić|odżywić	syty|najedzony
zapętlić|zaplątać	zaplątany|zapętlony
przytępić	nieostry|tępy
przytępić	nieostry|przytępiony
rozleniwić|zleniwieć	leniwy
zaokrąglić się	okrągły|zaokrąglony|krągły
wydąć|wzdąć	wzdęty
zdemokratyzować	demokratyczny
usportowić	usportowiony
zlaicyzować|zeświecczyć	laicki
przygładzić	gładki
urealnić	realny|rzeczywisty
wygórować	wygórowany
zliberalizować	liberalny
zdezaktualizować	nieaktualny
napuszyć	puszysty|puchaty
rozkaprysić	kapryśny|grymaśny|humorzasty|chimeryczny|rozkapryszony
uwspólnić	wspólny
uwspólnić	wspólny
zautonomizować się	autonomiczny|samoistny
zamazać	cichy
zamazać	niewidoczny|niewidzialny
zamazać|zatrzeć	nieokreślony|niesprecyzowany|nieoznaczony
namoknąć|namięknąć|nasączyć się|namoczyć się	namokły
manierować	manieryczny
rozwalić	rozwalony
rozweselić|rozchmurzyć|rozpogodzić|wypogodzić	wesoły
urynkowić	rynkowy
skomercjalizować	komercyjny|merkantylny|komercjalny
skomercjalizować	komercyjny|komercjalny|merkantylny
uspołecznić|uspółdzielczyć	spółdzielczy
uspołecznić	społeczny
zbiurokratyzować	biurokratyczny
ściemnić|przyciemnić	ciemniejszy
zasupłać|zawęźlić	zasupłany|zawęźlony
rozdeptać	luźny|nieobcisły|obszerny|szeroki
uprościć	prostszy
oświetlić	jasny
umiędzynarodowić	transgraniczny|ponadgraniczny|międzynarodowy|internacjonalny
pogrubić	tubalny|gruby
sparszywieć	sparszywiały
