skupiać się|koncentrować się	skupiony
obumierać|martwieć|zamierać	martwy|nieżywy|zimny
kapcanieć|dziadzieć	zdziadziały
gorzknieć	gorzki
gorzknieć|kwaśnieć	kwaśny
gorzknieć|kwaśnieć	zgorzkniały
kwaśnieć|kisnąć	skisły|zakisły
ramoleć|grzybieć	zramolały|zgrzybiały
wyodrębniać się|odcinać się|wydzielać się	osobny|odrębny|oddzielny
ujednolicać się|homogenizować się	jednolity|niezróżnicowany|jednorodny|homogeniczny|jeden
łagodnieć	łagodniejszy
pokornieć|potulnieć	pokorny|korny
przydawać się|zdawać się	użyteczny
chamieć|ordynarnieć|gburowacieć	gburowaty|gburny
garbacieć	garbaty
oddalać się	dalszy
zyskiwać	lepszy
pulchnieć	pulchniejszy
odważać się|ośmielać się|poważać się|zbierać się na odwagę|zdobywać się|śmieć	czelny
tępić się	nieostry|tępy
aktywować	czynny|aktywny
roztapiać się|topić się|topnieć	ciekły|płynny
znaczyć|mieć znaczenie|liczyć się	ktoś
cichnąć|milknąć|zamierać	cichszy
cichnąć|milknąć|zamierać	cichy
upewniać się	przekonany|pewny|pewien
pochylać się|skłaniać się|zniżać się|chylić się	niższy
dobiegać|nadpływać	słyszalny
przekwitać	przekwitły
więdnąć	zwiędły|uwiędły|zwiędnięty|powiędły
starzeć się	stary
starzeć się	stary|nienowy
starzeć się	przestarzały|wczorajszy|przedwczorajszy
dezaktualizować się|przedawniać się	nieaktualny
dezaktualizować się|przedawniać się	niewspółczesny
unieważniać się	nieważny
zielenieć|zielenić się	zielony
dojrzewać|leżakować	dojrzały
przemakać|przemaczać się	mokry
łysieć	łysy|gołogłowy
przebrzmiewać	przebrzmiały
tajać|rozmarzać	rozmarzły|roztajały
wzburzać się	wzburzony
wyswabadzać się|wyswobadzać się|uwalniać się|oswobadzać się|wyzwalać się|oswabadzać się	niepodległy|niezawisły
odsłaniać się	widoczny
odsłaniać się	dostępny
przemęczać się|przeforsowywać się|żyłować się	przemęczony
rozpieszczać się	kapryśny|grymaśny|humorzasty|chimeryczny|rozkapryszony
upadlać się|spodlać się	podły
rozciągać się	obowiązujący
rozszerzać się|poszerzać się	szerszy
wsławiać się	słynny|sławny
neutralizować się	obojętny|neutralny
czyścić się|wyczyszczać się	czysty
chmurnieć|pochmurnieć	chmurniejszy
chmurnieć|pochmurnieć	pochmurny|chmurny|szary
rozchorowywać się|zapadać	chory
obluzowywać się|rozluźniać się|obruszać się	luźny|wolny|rzadki|niegęsty
uaktualniać się|aktualizować się	aktualny
głodnieć	głodny
matowieć	matowy
rzednąć|rzednieć	luźny|wolny|rzadki|niegęsty
rzednąć	rzadki|nieczęsty
wilgotnieć	wilgotny
tępieć	nieostry|tępy
tępieć	tępy|tępogłowy
głupieć	głupi|niemądry
uodparniać się|uodporniać się	odporny
uodpornić się	wytrzymały|odporny
uodparniać się|uodporniać się	wytrzymały|odporny
mądrzeć	mądry
pięknieć	piękny|cudowny|krasy
brzydnąć	brzydszy
brzydnąć	brzydki|nieładny|niepiękny
nasilać się|tężeć|rosnąć|wzmagać się|potęgować się|narastać|wzrastać|rozrastać się	nasilony|narosły
rdzewieć	rdzawy|rdzawoczerwony
kruszeć	łamliwy|kruchy
przycichać	cichy
gnuśnieć	gnuśny
wyludniać się|pustoszeć	opustoszały|spustoszały
ziębnąć|przemarzać	zziębły|zziębnięty|wyziębły
ozłacać się	złocisty|złoty|pozłocisty|złociutki|złotolity|złotolicy
utożsamiać się	identyczny|ten sam|taki sam|tożsamy
dekompletować się	niecały|niecałkowity|cząstkowy|częściowy|niezupełny|niepełny|parcjalny
delikatnieć	delikatny|łagodny|subtelny
dorównywać	równy
rozpalać się|rozogniać się	gorący
rozpalać się	czerwony
opróżniać się	pusty|próżny|nienapełniony
zaludniać się	ludny
uzależniać się	zależny
zacieśniać się|zawężać się	ciaśniejszy
ograniczać się|sprowadzać się	ograniczony
durnieć|idiocieć|kretynieć	durny
upokarzać się	pokorny|korny
dystansować się	niepochlebny
wyłamywać się	niesolidarny
prostować się|wyprostowywać się|rozprostowywać się	wyprostowany
zwalniać się	wolny|niezajęty
utrwalać się	trwały
przetłuszczać się	zatłuszczony|przetłuszczony|tłusty
przetłuszczać się	zatłuszczony|przetłuszczony|tłusty
mierzwić się|wichrzyć się|targać się	zmierzwiony|zwichrzony|skłębiony|potargany
wypływać	znany
skracać się	krótszy
skracać się	krótszy
komplikować się|wikłać się|gmatwać się|plątać się|zapętlać się	niezrozumiały|niejasny
zaostrzać się	drastyczny|brutalny|agresywny
zaostrzać się	surowszy
zaostrzać się	rygorystyczny|ścisły
zaostrzać się	nieznośny
poprawiać się|polepszać się	lepszy
usprawniać się	sprawniejszy
zaostrzać się|wyostrzać się	bystry|ostry
werbować się	żołnierz|wojskowy|wojak
obmierzać|brzydnąć|mierznąć	wstrętny|przebrzydły|ohydny
ściemniać się	ciemniejszy
płowieć	płowożółty
matowieć	matowy
mięknąć	słaby
mięknąć	uległy
rozkapryszać się	kapryśny|grymaśny|humorzasty|chimeryczny|rozkapryszony
wyślizgiwać się	śliski
wygładzać się	gładki
rozjuszać się	rozżarty|rozjuszony|rozjadły
ścieśniać się|stłaczać się|zbijać się	ciaśniejszy
ścieśniać się	ciaśniejszy
oblepiać się	lepki|klejowaty|kleisty|klejący|czepny|klejki
lodowacieć	lodowaty|lodowy
zacieśniać się	ciaśniejszy
dziczeć	dziki
dziczeć	dziki
dziczeć	dziki
narowić się	narowisty
narowić się	narowisty
owdowieć	wdowiec
odcieleśniać się	psychiczny
jesienić się	jesienny
siwieć	siwy|osiwiały|przyprószony siwizną|zsiwiały|posiwiały
przestygnąć	chłodniejszy
rozwlekać się	niespójny|niespoisty
zaokrąglać się	okrągły|zaokrąglony|krągły
wznawiać się	ponowny|powtórny
ulepszać się	lepszy
ocieplać się	cieplejszy
ocieplać się	ciepły
demokratyzować się	demokratyczny
mętnieć|mącić się	nieprzejrzysty|mętny|zanieczyszczony|nieczysty|nieklarowny|nieprzeźroczysty|nieprzezroczysty
mętnieć	niewyraźny
mętnieć	niewyraźny
laicyzować się|zeświecczać się	laicki
blednąć|bladnąć|blaknąć	zbladły
rozbestwiać się	zuchwały|bezczelny
rozzuchwalać się	zuchwały|bezczelny
autonomizować się	niepodległy|niezawisły
