leszczynowy	leszczyna
metalowy	metal
mosiężny	mosiądz
miedziany	miedź
niklowy	nikiel
żeliwny	żeliwo
siatkowy	siatka
gronowy	grono
tartanowy	tartan
tartanowy	tartan
metaliczny	metal
spiżowy	spiż
malachitowy	malachit
woskowy	wosk
lisi	lis
lipidowy	lipid
łącznotkankowy	tkanka łączna
wężowy	wąż
burakowy	burak
buraczany	burak
pistacjowy	pistacja
śliwkowy	śliwka
cebulkowy	cebulka
kwiatowy	kwiat
warzywny	warzywo
morowy	mora
opiumowy	opium
modrzewiowy	modrzew
brzozowy	brzoza
brzozowy	brzoza
bukowy	buk
jodłowy	jodła
olchowy	olcha
olszynowy	olszyna
świerkowy	świerk
piniowy	pinia
bibułkowy	bibułka
rurkowy	rurka
kapuściany	kapusta
klonowy	klon
lodowy	lód
lodowy	lody
pszeniczny	pszenica
ryżowy	ryż
polimerowy	polimer
biszkoptowy	ciasto biszkoptowe
jaspisowy	jaspis
topolowy	topola
wiązowy	wiąz
pomarańczowy	pomarańcza
ziołowy	zioło
ziołowy	zioło
azbestowy	azbest
korkowy	korek
masłowy	masło
kaszmirowy	kaszmir
tekowy	tek
kefirowy	kefir
pochodzenia zwierzęcego	zwierzę
grabowy	grab
lipowy	lipa
jodłowy	jodła
palmowy	palma
sosnowy	sosna
sosnowy	sosna
wierzbowy	wierzba
cedrowy	cedr
leszczynowy	leszczyna
sekwojowy	sekwoja
jarzębinowy	jarzębina
jabłoniowy	jabłoń
klonowy	klon
osikowy	osika
osinowy	osina
kaktusowy	kaktus
laurowy	laur
laurowy	laur
bluszczowy	bluszcz
wawrzynowy	wawrzyn
wrzosowy	wrzos
kalinowy	kalina
bzowy	bez
bzowy	bez
jeleni	jeleń
jeleni	jelenina
koński	koń
koński	konina
mięsny	mięso
króliczy	królik
wołowy	wołowina
zajęczy	zając
zajęczy	zając
rakowy	rak
szczecinowy	szczecina
peptydowy	peptyd
kiełbasiany	kiełbasa
półfrancuski	ciasto półfrancuskie
materiałowy	materiał
plastelinowy	plastelina
angorowy	angora
bizmutowy	bizmut
kitajkowy	kitajka
igelitowy	igelit
kosodrzewinowy	kosodrzewina
aluminiowy	aluminium
bierwionowy	bierwiono
hematytowy	hematyt
renklodowy	renkloda
platynowy	platyna
skrzypowy	skrzyp
albitowy	albit
irydowy	iryd
porowy	por
lniany	len
bambusowy	bambus
borowikowy	borowik
ferrytyczny	ferryt
nefelinowy	nefelin
żywicowy	żywica
tekstylny	tekstylia
łyczany	łyko
łyczakowy	łyko
konchiolinowy	konchiolina
wełniany	wełna
wełniany	wełna
kaszmirowy	kaszmir
barani	baran
bukszpanowy	bukszpan
cielęcy	cielęcina
czereśniowy	czereśnia
czereśniowy	czereśnia
wiśniowy	wiśnia
akacjowy	akacja
morelowy	morela
eukaliptusowy	eukaliptus
eukaliptusowy	eukaliptus
cierniowy	cierń
diamentowy	diament
wiśniowy	wiśnia
morelowy	morela
fernambukowy	fernambuk
brzoskwiniowy	brzoskwinia
brzoskwiniowy	brzoskwinia
chromoniklowy	chromonikiel
nerkowcowy	nerkowiec
fistaszkowy	fistaszek
jedwabny	jedwab
lniany	len
pigwowy	pigwa
drzewny	drzewo
eukaliptusowy	eukaliptus
pernambukowy	pernambuk
głogowy	głóg
różany	róża
sulfonamidowy	sulfonamid
aloesowy	aloes
aloesowy	aloes
tatarakowy	tatarak
cyprysowy	cyprys
cyprysowy	cyprys
gorczycowy	gorczyca
gorczyczny	gorczyca
goździkowy	goździk
juchtowy	jucht
plechowaty	plecha
gipsowy	gips
gipsowy	gips
gumowy	guma
kamforowy	kamfora
melisowy	melisa
mentolowy	mentol
żużlobetonowy	żużlobeton
arszenikowy	arszenik
cyjanowy	cyjan
kardamonowy	kardamon
bekonowy	bekon
rodzynkowy	rodzynek
kamforowy	kamforowiec
białkowy	białko
włókienkowy	włókienko
fliszowy	flisz
opalowy	opal
rybny	ryba
rybny	ryba
miedny	miedź
pieprzowy	pieprz
dymowy	dyma
milanezowy	milanez
sałatowy	sałata
listewkowy	listewka
fokowy	foki
rysiowy	ryś
skunksowy	skunks
liściasty	liść
liściowy	liść
płócienny	płótno
dzianinowy	dzianina
mięsny	mięso
wieprzowy	wieprzowina
brzostowy	brzost
morwowy	morwa
olszowy	olcha
fiołkowy	fiołek
konwaliowy	konwalia
kredowy	kreda
koralowy	koral
koralikowy	koralik
insulinowy	insulina
hormonowy	hormon
żołędziowy	żołądź
żołędny	żołądź
kapłoni	kapłon
teakowy	teak
polisacharydowy	polisacharyd
selskinowy	selskin
szopowy	szop
wydrowy	wydra
sercowy	serce
daglezjowy	daglezja
węglowodanowy	węglowodan
berylowy	beryl
cajgowy	cajg
lodenowy	loden
żywiczny	żywica
kryształowy	kryształ
serpentynowy	serpentyna
paprykowy	papryka
waniliowy	wanilia
sztachetowy	sztacheta
truflowy	trufla
marchewkowy	marchewka
żerdziowy	żerdź
polistyrenowy	polistyren
nylonowy	nylon
szelakowy	szelak
poliwęglanowy	poliwęglan
fluorowy	fluor
paciorkowy	paciorek
steroidowy	steroid
truflowy	trufla
limonkowy	limonka
cytrusowy	cytrus
rumowy	rum
łupkowaty	łupek
ilasty	ił
waciany	wata
oliwny	oliwka
włóknikowy	włóknik
ziarnowy	ziarno
ziarnowy	ziarno
ziarnowy	ziarno
razowy	mąka razowa
batikowy	batik
żorżetowy	żorżeta
gresowy	gres
eternitowy	eternit
cementowy	cement
lastrikowy	lastriko
lastrykowy	lastryko
opioidowy	opioid
popiołowy	popiół
polipropylenowy	polipropylen
termobimetalowy	termobimetal
bimetalowy	bimetal
sterydowy	steryd
tworzywowy	tworzywo sztuczne
szyszkowy	szyszka
bazyliowy	bazylia
brokułowy	brokuł
trotylowy	trotyl
gryczany	gryka
szpinakowy	szpinak
pietruszkowy	pietruszka
rabarbarowy	rabarbar
pietruszkowy	pietruszka
rzodkiewkowy	rzodkiewka
włókienkowaty	włókienko
denimowy	denim
selerowy	seler
mangowy	mango
mangowy	mango
brzany	ber
dorszowy	dorsz
tlenkowy	tlenek
kukurydziany	kukurydza
kukurydzowy	kukurydza
pstrągowy	pstrąg
ałunowy	ałun
ciosowy	cios
kumarynowy	kumaryna
goreteksowy	goreteks
jeansowy	jeans
barionowy	barion
moleskinowy	moleskin
nankinowy	nankin
aroniowy	aronia
jelonkowy	jelonek
polarowy	polar
trachitowy	trachit
półwełniany	półwełna
błotny	błoto
borowinowy	borowina
cyjanowodorowy	cyjanowodór
kryształkowy	kryształek
daktylowy	daktyl
dereniowy	dereń
