nieprofesjonalny	nieprofesjonalista
nieszczęśliwy	nieszczęście
niezmienny	niezmiennik
niezmienny	niezmiennik
obiektywny	obiektywista
ohydny	ohydztwo
okropny	okropność
okropny	okropieństwo
osobliwy	osobliwość
podejrzany	podejrzany
podły	podłota
podły	podlec
poprzedni	poprzednik
porządny	porządnicki
porządny	porządniś
pospolity	pospolitak
prosty	prosta
pyszny	pyszności
pyszny	pychota
sam	samotnik
silny	siłacz
skąpy	skąpiarz
skąpy	skąpiec
skąpy	skąpiradło
smaczny	smaczności
smakowity	smakowitość
straszny	straszność
surowy	surówka
światowy	światowiec
święty	święty
szalony	szaleniec
sławny	sława
tani	tanizna
tani	taniocha
uczuciowy	uczuciowiec
wąski	węzina
ważny	ważniak
ważny	ważniak
wesoły	wesołek
wielki	wielkość
wrażliwy	wrażliwiec
wykształcony	wykształciuch
zacofany	zacofaniec
zawiły	zawiłość
zdolny	zdolniacha
znakomity	znakomitość
zuchwały	zuchwalstwo
żywy	żywy
złośliwy	złośliwiec
łakomy	łakomczuch
goły	golas
stary	starzec
stary	starowina
słaby	słabiak
słaby	słabeusz
murowany	murowaniec
rzadki	rzadkość
niemy	niemy
niemy	niemowa
prywatny	prywatność
oklepany	oklepanka
oryginalny	oryginał
prosty	prostak
przeciętny	przeciętniak
równy	równowartość
ruchomy	ruchomość
nieuczciwy	nieuczciwość
stary	starówka
nowy	nowalijka
nowy	nowość
nowy	nowina
upośledzony umysłowo	upośledzony umysłowo
szkaradny	szkaradziejstwo
szkaradny	szkaradnik
szkaradny	szkaradzieństwo
szkaradny	szkarada
ponury	ponurak
słaby	słabiak
słaby	słabizna
słaby	słabeusz
słodki	słodkości
słodki	słodycze
słodki	słodycz
syntetyczny	syntetyk
szary	szarak
szary	szaraczek
świeży	świeżyzna
świeży	świeżyzna
świeży	świeżonka
świeży	świeżynka
świeży	świeżyzna
świeży	świeżyzna
tandetny	tandeta
zawistny	zawistnik
wielki	wielkolud
liberalny	liberał
kosmopolityczny	kosmopolita
endemiczny	endemit
roślinożerny	roślinożerca
mięsożerny	mięsożerca
mięsożerny	mięsożerca
cały	całość
nadgorliwy	nadgorliwiec
szatyn	szatyn
pedantyczny	pedant
egzotyczny	egzotyk
metafizyczny	metafizyka
ciężarny	ciężarna
ordynarny	ordynus
flegmatyczny	flegmatyk
zniewieściały	zniewieścialec
egzotyczny	egzotyk
zgniły	zgniłek
parszywy	parszywość
parszywy	parszywiec
siwy	siwosz
siwy	siwek
siwy	siwy
popielaty	popielatka
bezideowy	bezideowiec
pstry	pstrokaczka
pstry	pstroszka
wybredny	wybredniś
cwany	cwaniak
szpetny	szpetota
nieobyczajny	nieobyczajność
nieprzyzwoity	nieprzyzwoitość
koślawy	koślawiec
koślawy	koślawiec
koślawy	koślawiec
przemądrzały	przemądrzalec
latarniowy	latarniowiec
kalafiorowy	kalafiorówka
kalafiorowy	kalafiorowa
rogaty	rogacz
rogaty	rogacz
piegowaty	piegowaty
nordycki	nordyk
nordyczny	nordyk
roztrzepany	roztrzepaniec
dowcipny	dowcipniś
rakietowy	rakietowiec
plugawy	plugawiec
plugawy	plugastwo
tajemny	tajemność
popaprany	popapraniec
popaprany	popapraniec
napalony	napaleniec
napalony	napaleniec
niemrawy	niemrawiec
kulawy	kulawy
