napisać	stać
nazwać|nadać imię	nazywać się|zwać się
zawrzeć	zawierać|mieścić
położyć	leżeć|spoczywać
postawić	stać|stać sztorcem
umieścić|ulokować|usytuować|umiejscowić|usadowić	siedzieć
zakwalifikować|zaliczyć|zaklasyfikować	zaliczać się|kwalifikować się|klasyfikować się
włączyć	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
podpalić	palić się|płonąć|spalać się
rozpalić|rozniecić	palić się|płonąć
rozżarzyć	żarzyć się
roziskrzyć	iskrzyć się|skrzyć się|skrzyć
posrebrzyć|osrebrzyć|wysrebrzyć	srebrzyć się
pochować|pogrzebać	spoczywać|leżeć
posadzić	siedzieć
rozśmieszyć|rozbawić	śmiać się
wytyczyć	przechodzić
wciągnąć|wpisać|wprowadzić	figurować
ukoronować	królować|tronować
zastraszyć	bać się|lękać się|obawiać się|drżeć|mieć boja
wygłodzić	głodować|cierpieć głód|przymierać głodem|nie dojadać
zagłodzić|zamorzyć	głodować|cierpieć głód|przymierać głodem|nie dojadać
zagłodzić|zamorzyć	głodować|cierpieć głód|przymierać głodem|nie dojadać
zasmrodzić	śmierdzieć|cuchnąć|jechać
powiać	powiewać
zachwiać	kołysać się|kiwać się|bujać się|gibać się|huśtać się
położyć	leżeć
nadmuchać|nawiać	napływać
pościągać	ściągać
sfalować	falować
zaświecić|zapalić	świecić|palić się
grzmotnąć|ciepnąć|majdnąć|majtnąć|prasnąć|rżnąć|walnąć|kropnąć|smyrgnąć|szurnąć|trzepnąć|bachnąć	poniewierać się|walać się
rzucić	przebywać|siedzieć
wyświadczyć	zawdzięczać
wytrzymać	oczekiwać|wyczekiwać|wyglądać|wypatrywać
zechcieć|nabrać ochoty	zachciewać się
wpaść	postrzegać|percypować|rejestrować|chwytać|odbierać
odkręcić kurek	płynąć|przepływać
odkręcić wodę	lać się|lecieć
rozpić	pić|drinkować|wypijać|wlewać ... w siebie
zbudować|wybudować|postawić|wznieść	stać
postawić	stać|stać sztorcem
uzupełnić się|dopełnić się	uzupełniać się|dopełniać się
pobielić|ubielić	bieleć|bielić się
pozwolić	móc|być w stanie|być w mocy
przepoić|przesycić	charakteryzować się|cechować się|posiadać|odznaczać się|nosić|mieć
popędzić|pognać|pogonić	przemieszczać się|poruszać się|przenosić się
wyzwać	pojedynkować się
zaimponować	szanować|poważać|liczyć się
zakotwiczyć	kotwiczyć
zawirować	wirować
zaprząc|wprząc|wprzęgnąć	pracować|wykonywać
wepchnąć|wepchać|wetknąć|wmusić	mieć|być w posiadaniu|posiadać
zaparkować	parkować
zetknąć	przylegać|obciskać|oblepiać|opinać|opinać się
sklepić|zasklepić	sklepiać
nakręcić	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
rozkręcić	rozwijać się|rozrastać się
uruchomić	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
wyspecjalizować	specjalizować się
zorientować	zrozumieć|pojąć|objąć umysłem|ogarnąć umysłem|pochwycić|objąć
przypłynąć|dolecieć	postrzegać|percypować|rejestrować|chwytać|odbierać
usadzić|posadzić	repetować|zimować
rozkołysać|rozbujać|rozhuśtać	kołysać się|kiwać się|bujać się|gibać się|huśtać się
rozkołysać|rozbujać|rozhuśtać	chwiać się|chybotać się|kołysać się|gibać się|kiwać się|bujać się|huśtać się
obciążyć	psuć się
obciążyć	psuć się
wysiedzieć	wykluwać się|wylęgać się|kluć się|lęgnąć się|ląc się|ulęgać się
sparować|sparzyć	parzyć się
rozentuzjazmować	zachwycać się|achać|entuzjazmować się|fascynować się
nacechować	odcinać się|wyróżniać się|kontrastować|odgraniczać się|wyodrębniać się
posadzić	siedzieć
rozwidlić	rozwidlać się|rozgałęziać się|rozbiegać się|rozchodzić się
pogrubić	grubieć
pogrubić	pogrubieć
pogrubieć	grubieć
