1892635	19407	12			wej	wy	adj:sg:loc:f:pos
1892634	19407	19			wej	wy	adj:sg:gen:f:pos
1892518	13327	16			kiej	ki	adj:sg:loc:f:pos
1892517	13327	31			kiej	ki	adj:sg:gen:f:pos
1892516	13327	1			kiej	ki	adj:sg:dat:f:pos
1892269	19407	1			wemu	wy	adj:sg:dat:m1.m2.m3.n1.n2:pos
1892164	414	1			nia	ni	adj:sg:nom.voc:f:pos
1892076	1955	1			cza	czy	adj:sg:nom.voc:f:pos
1891910	92	1			da	dy	adj:sg:nom.voc:f:pos
1891852	20790	9			na	ny	adj:sg:nom.voc:f:pos
1891790	4395	2			ta	ty	adj:sg:nom.voc:f:pos
1891776	19407	23			wa	wy	adj:sg:nom.voc:f:pos
1891698	13327	14			ka	ki	adj:sg:nom.voc:f:pos
1891550	1396	2			cą	cy	adj:sg:acc:f:pos
1891536	1955	1			czą	czy	adj:sg:acc:f:pos
1891313	20790	6			ną	ny	adj:sg:inst:f:pos
1891312	20790	11			ną	ny	adj:sg:acc:f:pos
1891237	19407	4			wą	wy	adj:sg:inst:f:pos
1891236	19407	13			wą	wy	adj:sg:acc:f:pos
1891159	13327	6			ką	ki	adj:sg:inst:f:pos
1891158	13327	8			ką	ki	adj:sg:acc:f:pos
1890587	10599	2			no	ny	adja
1890473	9727	2			wo	wy	adja
1890053	19718	1			ni	ny	adj:pl:nom.voc:m1.p1:pos
1889839	13327	3			cy	ki	adj:pl:nom.voc:m1.p1:pos
1696692	747	1			niej	nie	adv:com
1696428	62803	4			ci	ć	subst:sg:loc:f
1696426	62803	2			ci	ć	subst:sg:gen:f
1696417	62764	1			ci	ć	subst:pl:nom:f
1696413	62803	1			ci	ć	subst:pl:gen:f
1696398	63	2			ci	cia	subst:sg:gen:f
1696345	31	1			dzi	dź	subst:sg:loc:f
1696221	23	4			dzi	dzia	subst:sg:gen:f
1696000	9	1			mi	mia	subst:sg:gen:f
1695780	31	1			ni	ń	subst:pl:gen:m2
1695766	1143	13			ni	nia	subst:sg:loc:f
1695764	5	1			ni	nia	subst:sg:gen:m1
1695763	1143	9			ni	nia	subst:sg:gen:f
1695752	1133	1			ni	nia	subst:pl:gen:f
1695603	14	1			si	ś	subst:sg:gen:f
1695575	104	4			si	sia	subst:sg:gen:f
1695572	104	1			si	sia	subst:sg:dat:f
1695500	16	1			wi	iew	subst:sg:loc:f
1695498	16	1			wi	iew	subst:sg:gen:f
1695476	15	1			wi	ew	subst:sg:gen:f
1695429	5	2			wi	wia	subst:sg:loc:f
1694997	522	1			li	l	subst:pl:gen:m3
1694995	83	6			li	l	subst:pl:gen:m1
1694992	83	1			li	l	subst:pl:acc:m1
1694982	478	8			li	la	subst:sg:loc:f
1694980	24	5			li	la	subst:sg:gen:m1
1694979	478	17			li	la	subst:sg:gen:f
1694976	478	5			li	la	subst:sg:dat:f
1694762	184	1			ńcy	niec	subst:pl:nom:m1
1694740	528	6			cy	iec	subst:pl:nom:m1
1694652	1382	5			cy	ca	subst:sg:loc:f
1694650	470	6			cy	ca	subst:sg:gen:m1
1694649	1382	14			cy	ca	subst:sg:gen:f
1694646	1382	2			cy	ca	subst:sg:dat:f
1694644	457	2			cy	ca	subst:pl:nom:m1
1694545	45	2			czy	cz	subst:sg:loc:f
1694543	45	1			czy	cz	subst:sg:gen:f
1694446	38	3			czy	cza	subst:sg:loc:f
1694443	38	2			czy	cza	subst:sg:gen:f
1694026	4	1			dży	dża	subst:sg:loc:f
1693857	880	2			rzy	rz	subst:pl:gen:m1
1693854	880	1			rzy	rz	subst:pl:acc:m1
1693728	16	1			rzy	rza	subst:sg:loc:f
1693468	75	2			szy	sza	subst:sg:loc:f
1693466	22	2			szy	sza	subst:sg:gen:m1
1693465	75	1			szy	sza	subst:sg:gen:f
1693236	41	1			ży	ż	subst:sg:loc:f
1693224	155	2			ży	ż	subst:pl:gen:m3
1693179	3	1			ży	ża	subst:sg:gen:m1
1693176	3	1			ży	ża	subst:sg:dat:m1
1692772	17	1			oi	oja	subst:sg:loc:f
