dendele	interj			SGJP
der-der	interj		mwe	SGJP
din	interj			SGJP
dlaboga	interj	emo		SGJP wiki
dlaboga	interj	apel		SGJP wiki
do cholery	interj		mwe	wiki
do diabła	interj		mwe	wiki
do diaska	interj		mwe	wiki
do kaduka	interj		mwe	wiki
do licha	interj		mwe	wiki
dobra	interj	apel		SGJP wiki
dobranoc	interj	apel		SGJP wiki
dobrydzień	interj			SGJP
dokładnie	interj			SGJP
doprawdy	interj			SGJP
dosyć	interj	apel		SGJP wiki
dość	interj	apel		SGJP wiki
drdr	interj			SGJP
drr	interj	onom		SGJP wiki
dryp	interj			SGJP
dryń	interj	onom		SGJP wiki
dudu	interj			SGJP
dul-dul	interj		mwe	SGJP
dum	interj			wiki
dum-dum	interj		mwe	wiki
dylu-dylu	interj		mwe	SGJP
dyrdy	interj			SGJP
dyń	interj			SGJP
dzieńdoberek	interj	apel		SGJP wiki
dziu	interj			SGJP
dziwo	interj	emo		wiki
dziń	interj			SGJP
dzyń	interj	onom		SGJP wiki
e	interj	emo		SGJP wiki
e-e	interj		mwe	SGJP
ech	interj	onom		SGJP wiki
ech	interj	emo		SGJP wiki
ee	interj			SGJP wiki
eee	interj			SGJP wiki
eet	interj	emo		wiki
eh	interj	emo		SGJP wiki
ehe	interj	emo		SGJP wiki
ehe	interj	apel		SGJP wiki
ehm	interj	onom		wiki
ehm	interj	emo		wiki
ej	interj	emo		SGJP wiki
ej	interj	apel		SGJP wiki
ejże	interj	emo		SGJP wiki
ejże	interj	apel		SGJP wiki
ekhm	interj	onom		wiki
ekhm	interj	emo		wiki
ekstra	interj	emo		wiki
et	interj	emo		SGJP wiki
eureka	interj	emo		SGJP wiki
fafa-rafa	interj		mwe	wiki
fajt	interj	onom		SGJP wiki
fe	interj	emo		SGJP wiki
fff	interj	onom		wiki
fi	interj	emo		SGJP wiki
figo-fago	interj		mwe	wiki
fik	interj	onom		SGJP wiki
fik-mik	interj		mwe	wiki
fiku	interj			SGJP wiki
fiku-miku	interj		mwe	wiki
fiu	interj	onom		SGJP wiki
fiu	interj	emo		SGJP wiki
fiu-fiu	interj		mwe	wiki
fiut	interj	onom		SGJP wiki
fju	interj	emo		wiki
fora	interj	apel		SGJP wiki
frr	interj	onom		SGJP wiki
frrr	interj			wiki
fru	interj	onom		SGJP wiki
fu	interj	emo		SGJP wiki
fuj	interj	emo		SGJP wiki
furda	interj	emo		wiki
furda	interj	apel		wiki
gadu-gadu	interj		mwe	SGJP
gdzieżby	interj			SGJP
glu	interj			SGJP
gluk	interj			SGJP
gore	interj	apel		SGJP wiki
gorze	interj			SGJP
grr	interj	emo		wiki
gul	interj	onom		SGJP wiki
gul	interj	apel		SGJP wiki
gwałtu	interj	emo		SGJP wiki
gwałtu	interj	apel		SGJP wiki
gę	interj	onom		SGJP wiki
gę-gę	interj		mwe	wiki
ha	interj	onom		SGJP wiki
ha	interj	emo		SGJP wiki
ha! hi	interj	emo	mwe	wiki
ha-ha	interj		mwe	wiki
haj	interj	apel		SGJP wiki
hajda	interj	apel		wiki
hajże	interj	apel		SGJP wiki
hale	interj			SGJP
hallo	interj			SGJP
halo	interj	apel		SGJP wiki
ham	interj			SGJP
hap	interj			SGJP
harap	interj	apel		SGJP wiki
hau	interj	onom		SGJP wiki
hałła	interj			SGJP
he	interj	onom		SGJP wiki
he	interj	emo		SGJP wiki
he! hej	interj	emo	mwe	wiki
he-he	interj		mwe	wiki
hec	interj			SGJP
hej	interj	emo		SGJP wiki
hej	interj	apel		SGJP wiki
hej-hej	interj		mwe	wiki
hej-ho	interj		mwe	wiki
hejt	interj			SGJP
hejta	interj			SGJP
hejże	interj	emo		SGJP wiki
hejże	interj	apel		SGJP wiki
hetta	interj	apel		SGJP wiki
heureka	interj	emo		SGJP wiki
hi	interj	onom		SGJP wiki
hi	interj	emo		SGJP wiki
hi! he	interj	emo	mwe	wiki
hi-hi	interj		mwe	wiki
hip	interj	emo		wiki
hip	interj	apel		wiki
hm	interj	onom		SGJP wiki
hm	interj	emo		SGJP wiki
hmm	interj	onom		wiki
hmm	interj	emo		wiki
hmmm	interj			wiki
ho	interj	emo		SGJP wiki
ho	interj	apel		SGJP wiki
hoc	interj	onom		SGJP wiki
hoc	interj	emo		SGJP wiki
hokus-pokus	interj		mwe	SGJP wiki
hola	interj	emo		wiki
hola	interj	apel		wiki
